<U>2, so I can bring my family<C><U>Are there any good movies in Spring Hills, Kansas this afternoon?<A>What kind of movie are you looking for?<U>Something for my family.<PN>find_movies<PAN>description.other<PAV>good movies<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Family Jewels<PRAV>Not My Problem<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rated 69% on Rotten Tomatoes<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rated 72% approval on Rotten Tomatoes<A>Okay, Family Jewels is an romantic comedy movie rated 69% on Rotten Tomatoes and Not My Problem is a comedy movie that is rated 72% approval on Rotten Tomatoes<U>What is Family Jewels about?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.<U>What is Not My Problem about?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>I'd like to see Family Jewels<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Family Jewels<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<A>Ok, it is showing at the AMC Holiday Theater<U>Perfect<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>this afternoon<PR>find_showtimes<PRAN>time.showing<PRAV>2<PRAV>5<PRAV>8:10 pm<A>It's showing at 2, 5 and 8:10 pm. What time do you prefer?	[A]How many tickets do you need?	dlg-3c092ed8-7551-4e3d-81ad-7836d79ed716
<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes review of 61%<C><U>Thinking of going to movies<A>There are a few good ones out, thinking comedy or horror?<U>Yes, whats playing?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes rating of 72%<PN>find_movies<PAN>name.genre<PAV>comedy or horror<PAN>description.other<PAV>few good<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<A>Not My Problem is a Comedy, rated PG-13 with a Rotten Tomatoes rating of 72%<U>Who's in it?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>It's about a troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<A>Matt Damon and Noah Schnapp, It's about a troubled teen tries to convince his depressed elderly neighbor that things are not what they seem.<U>Ok, how about the horror?<PN>find_movies<PAN>name.genre<PAV>horror<PR>find_movies<PRAN>name.movie<PRAV>Shuttered<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic	[A]Shuttered is rated R with a Rotten Tomatoes review of 61%	dlg-a5afa397-faba-4e36-b45a-0db228f7c74f
<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<C><U>What are some fun movies playing in LA?<A>There are many fun movies out right now. Which genre?<U>I like action and drama.<PN>find_movies<PAN>description.other<PAV>some fun movies<PAN>location<PAV>LA<PAN>name.genre<PAV>action and drama<PR>find_movies<PRAN>name.movie<PRAV>Bad Boys for Life<PRAV>Birds of Prey<PN>get_movie_attribute<PAN>name.movie<PAV>Bad Boys for Life<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action and drama<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action and drama<A>Bad Boys for Life and Birds of Prey are two great movies.<U>I've heard great things about Birds of Prey.<A>Yes. It has gotten great reviews.<U>I heard Margot Robbie is spectacular in it.<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Margot Robbie<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Harley Quinn<A>She plays an interesting character, Harley Quinn.<U>Bad Boys for Life is a good choice too.<PN>get_movie_attribute<PAN>name.movie<PAV>Bad Boys for Life<PAN>attribute<PAV>name.genre	[A]It's a lot of action.	dlg-b34705ee-ca66-412b-8ab6-b16f84b1fd03
<U>Is there anything that features a lot of music. I always enjoy good music.<C><U>I would like to see a movie that is smart and has something to say. Comedies are fine, but I prefer something that isn't just a slapstick or a movie where being dumb or low brow is considered funny. I'm not a fan of action movies for the most part.<PN>find_movies<PAN>description.other<PAV>movie that is smart and has something to say. Comedies are fine, but I prefer something that isn't just a slapstick or a movie where being dumb or low brow is considered funny<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Zombie Land: DoubleTap<A>I would probably stay away from Zombie Land: DoubleTap as it has been described as mindless fun.<U>I would like to see something that features a well written script.<PN>find_movies<PAN>description.other<PAV>something that features a well written script<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>The Lighthouse<A>The Lighthouse has received universal acclaim.<U>Tell me more about it.<PN>get_movie_attribute<PAN>name.movie<PAV>The Lighthouse<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Willem Dafoe<PN>get_movie_attribute<PAN>name.movie<PAV>The Lighthouse<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Robert Pattison<PN>get_movie_attribute<PAN>name.movie<PAV>The Lighthouse<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Robert Eggers<A>It features Willem Dafoe and Robert Pattison and is from filmmaker Robert Eggers.<U>I like Willem Dafoe. How is Robert Pattison in it?<A>His performance has been championed.	[PN]find_movies[PAN]description.other[PAV]anything that features a lot of music. I always enjoy good music[PAN]location[PAV]nearby	dlg-07a67796-dae5-4cab-8344-cd3b37c2c409
<PR>find_movies<PRAN>name.movie<PRAV>Mad Max<C><U>I am looking to buy some movie tickets for the theater in Davies, California.<A>No problem. Do you have a movie in mind?<U>I would like to watch No Time To Die.<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Davis, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<A>It looks like the nearest theater playing No Time To Die is at the AMC Mercado 24 in Sacramento, California.<U>There aren't any showings of the movie in Davis, California?<A>That’s right. No Time To Die is not showing in Davis, California.<U>Well that sucks. Can you tell me any action movie that is showing in Davis, California?<PN>find_movies<PAN>name.genre<PAV>action<PAN>location<PAV>Davis, California	[A]I see one action movie playing in Davis, California at AMC Mercado 24 called Mad Max.	dlg-951dff62-cb0c-41f3-8c3b-2ac49915f122
<U>Oh, good. Can you check if they still have tickets available?<C><U>I need some assistance booking movie tickets.<A>Do you need help choosing a movie or do you know what you want to see?<U>I want to see The Call of the Wild.<A>What area do you live in?<U>I live in Portland, Oregon.<A>What day do you want to go?<U>I want to go tonight.<A>What time do you want to go?<U>Around 7 PM. Can you see if it is playing at Studio One Theaters around that time?<PN>find_showtimes<PAN>name.movie<PAV>The Call of the Wild<PAN>name.theater<PAV>Studio One Theaters<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>Around 7 PM<PR>find_showtimes<PRAN>time.showing<PRAV>7 PM<A>There is a 7 PM showing there. I just need to get a few more details from you and we can book. Is Standard screen okay?<U>Yes, that works.<A>How many tickets do you want?<U>Three. Oh, hang on my friend just texted and asked if we can go to Century 16 Eastport Plaza. Is it playing there?<A>They do actually have a 7 PM showtime as well.	[PN]check_tickets[PAN]name.movie[PAV]The Call of the Wild[PAN]name.theater[PAV]Century 16 Eastport Plaza[PAN]num.tickets[PAV]one[PAN]time.showing[PAV]7 PM[PAN]date.showing[PAV]tonight[PAN]seating[PAV]any	dlg-d9295c94-40e8-4db5-a7d7-512668ce781b
<PR>book_tickets<PRAN>status<PRAV>success<C><U>my wife and I especially wants to see the movie tonight and we cant wait<A>OK. And in what city?<U>Creek's end Oregon will be a nice place to be<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>i was told of one which is titled Mulan, heard it is very interesting to watch<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>Sure. In Creek’s End, Oregon, I see that Mulan is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>I would prefer AMC Mercado 24 because it is a bit closer to me<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>No problem. It looks like tonight’s remaining showtimes for Mulan at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?<U>i would prefer 5:00pm<A>Great. And how many tickets?<U>sorry, which theatre did we agree initially i think i have forgotten<A>Sure, you chose AMC Mercado 24.<U>oh that is true, and what was the time i preferred<A>For the showtime you said you preferred 5:00pm.<U>oh i am very sorry, my mind was kind off sidelined<A>I was just asking you how many tickets you'll need.<U>three is good enoughalri<A>All right. Let me confirm that you’d like three tickets for Mulan at AMC Mercado 24 tonight at 5:00pm. Is that all correct?<U>alright do that<A>Is it OK to go ahead and purchase these tickets?<U>yes please purchase<PN>book_tickets<PAN>num.tickets<PAV>three<PAN>name.movie<PAV>Mulan<PAN>name.theater<PAV>AMC Mercado 24<PAN>date.showing<PAV>tonight<PAN>time.showing<PAV>5:00pm	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-d4975203-7eb0-4cef-b0c8-ff5590de765f
<U>No, only two tickets.<C><U>Hello! I want to book movie tickets today.<A>Understood. Which movie would you like to see?<U>I want to see the movie Possession.<PN>find_theaters<PAN>name.movie<PAV>Possession<PR>find_theaters<PRAN>name.theater<PRAV>Cima Ultraplex 20<PRAV>Northgate Cinemas 12<A>It looks like there are two theaters that movie is currently playing at: Cima Ultraplex 20 and Northgate Cinemas 12. Which movie theater would you like me to buy the tickets for?<U>What are the showtimes for the two theaters?<A>What day would you like to know the showtimes for?<U>Today.<PN>find_showtimes<PAN>date.showing<PAV>today<PAN>name.movie<PAV>Possession<PAN>name.theater<PAV>Cima Ultraplex 20<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>6:10pm<PRAV>8:30pm<PN>find_showtimes<PAN>date.showing<PAV>today<PAN>name.movie<PAV>Possession<PAN>name.theater<PAV>Northgate Cinemas 12<PR>find_showtimes<PRAN>time.showing<PRAV>6:00pm<PRAV>8:10pm<PRAV>10:25pm<A>At Cima Ultraplex 20, the movie is playing at 4:00pm, 6:10pm, and 8:30pm. At Northgate Cinemas 12, the movie is playing at 6:00pm, 8:10pm, and 10:25pm.<U>I want the latest showtime.<A>Understood. I will book tickets for the Northgate Cinemas 12. How many tickets would you like?<U>I want a ticket for me and my mom.<A>I will book three tickets.	[A]I'm sorry for the mistake. I will now book two tickets at the Northgate Cinemas 12 for the 10:25pm showing of the movie Possession. Is this information correct?	dlg-b3886803-4a46-4f46-b327-4deb3e4d5c6a
<PR>get_movie_attribute<PRAN>review.audience<PRAV>92%<C><U>I am very interested in seeing a movie tonight after the days work. Can you help book one?Can I know the<A>Sure. What movie would you like to see?<U>Can I know the movie being played at Boulevard 14 Cinema in Petaluma, California?<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>That's cool. Would you give me a brief description on Mulan? I've heard someone mention it.<A>Sure. What specifically would you like to know?<U>I would love to know what the story is about.Fantastic.<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>description.plot<PRAV>Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way<A>OK. Here’s the synopsis of Mulan: Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way.<U>Fantastic. How was the ratings by the audience and the critics?<PN>get_movie_attribute<PAN>attribute<PAV>review.audience<PAN>name.movie<PAV>Mulan	[PN]get_movie_attribute[PAN]attribute[PAV]review.critic[PAN]name.movie[PAV]Mulan	dlg-68475e17-1ca8-4953-b529-ef4d33fee861
<PR>find_showtimes<PRAN>time.showing<PRAV>6:10<PRAV>8:30<C><U>Yes, Hello. Good Afternoon, I'm needing to book two tickets for this evening. Could you please tell me what movies are playing at 7 and 7:30 in Spring Hills, Kansas?<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PRAV>AMC Holiday Theater.<A>Yes ma'am, there are two movies at two different locations. Do You have a preference in location? I have the Cinemark Downtown and the AMC Holiday Theater.<U>Not right now, I'm just trying to see what's showing. Could you tell me about the two movies showing at the 7 o'clock hour?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>7 and 7:30<PR>find_showtimes<PRAN>time.showing<PRAV>7pm<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>documentary<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>G<PN>find_showtimes<PAN>name.movie<PAV>Backcountry<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>7 and 7:30<PR>find_showtimes<PRAN>time.showing<PRAV>7:30<A>Yes ma'am. First is Not My Problem, a PG rated comedy, showing at the AMC Holiday Theater at 7pm and the other is Backcountry a documentary about Yosemite rated G beginning at 7:30 at Cinemark Downtown.<U>Hmm I like documentaries but I'd hate to fall asleep and waste my money if it turned out to be too boring. Do you happen to know what the reviews are for Backcountry?<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>91% on rotten tomatoes<A>Yes ma'am, it has a 91% on rotten tomatoes and is described as an award winning documentary that delves into all of of the wonders of one of our country's most iconic parks.<U>That sounds like it is a pretty great documentary. I don't know, I think I'd like to try something a little more lively than a national park. Are there any horror movies playing close to 7?<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.genre<PAV>horror<PR>find_movies<PRAN>name.movie<PRAV>Shuttered<PN>find_theaters<PAN>name.movie<PAV>Shuttered<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>Shuttered<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>close to 7<PR>find_showtimes<PRAN>time.showing<PRAV>5:45<PRAV>9 PM<A>Currently the only horror movie showing is Shuttered at the AMC Holiday Theater but the show times closest to 7 are 5:45 9 PM.<U>I couldn't make it for the 5:45 and I think that 9 is a little late for me for this visit. What about any thriller or suspense close to 7?<PN>find_movies<PAN>name.genre<PAV>thriller or suspense<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Beyond The Storm<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>find_showtimes<PAN>name.movie<PAV>Beyond The Storm<PAN>date.showing<PAV>today<PAN>time.preference<PAV>closest to 7	[A]We have Beyond The Storm, an action film rated PG-13 but it sounds to me like it's an action suspense set on a boat in the ocean. It shows at 6:10 and 8:30. Would you like for me to tell you more about that one?	dlg-eb7d4bc1-e929-4c30-9a18-aba0f03eefdc
<U>Birds of Prey.<C><U>I'd like to see a movie tonight with my friends.<A>Of course, i can help you with that. Which movie did you want to see?	[A]I see 2 theaters near you showing that movie.	dlg-9ee668f6-64bf-4629-bb83-6d9ad0b64199
<U>I'll wait.<C><S><A>Hello. How can I help you?<U>I want to see the new James Bond Movie.<PN>resolve_movie<PAN>name.movie<PAV>the new James Bond Movie<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>That's correct.<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>The city where Full House was filmed.<PN>resolve_location<PAN>location<PAV>The city where Full House was filmed<PR>resolve_location<PRAN>location<PRAV>San Francisco, California<A>OK. San Francisco, California. One moment.<U>Thanks,I'll wait.<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>San Francisco, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in San Francisco, California. Do you have a preference?<U>Yes, the AMC Mountain 16 theatre I believe.<A>OK. Let me check showtimes at AMC Mountain 16.	[PN]find_showtimes[PAN]name.movie[PAV]No Time To Die[PAN]name.theater[PAV]AMC Mountain 16[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-e4e7fda7-1776-4d6d-99fb-52dfd85744c5
<U>What theater is that at and what are the showing time options.<C><U>Hi, I would like to go see a movie tonight.<A>OK.Do you have anything in mind?<U>No, but it has been a long day so I need something to take my mind off of it. Action is my favorite.<A>Sure. And what city are you looking in?<U>It would be best if it were in Santa Barbara, California.<PN>find_movies<PAN>location<PAV>Santa Barbara, California<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mad Max<A>It looks like there are two action movies playing in that area at the moment: No Time To Die and Mad Max<U>Oh, Mad Max is showing? Is it the original Mad Max?<PN>get_movie_attribute<PAN>attribute<PAV>date.release<PAN>name.movie<PAV>Mad Max<PR>get_movie_attribute<PRAN>date.release<PRAV>October 12, 1979<A>The release date for Mad Max was October 12, 1979.<U>Oh wow, it must be the original! That is very exciting.<A>That’s great.	[PN]find_theaters[PAN]location[PAV]Santa Barbara, California[PAN]name.movie[PAV]Mad Max	dlg-67542581-0e33-4ebd-9b88-1fecf2743d32
<U>We usually go to the Northgate, but I am more concerned about time tonight. Can you show me the times for both theaters?<C><U>Hey, can I order some movie tickets for tonight?<A>Yes, of course do you have a movie in mind?<U>Yes, possession.<A>I see that you are in Cedar Creek North Carolina, is that where you would like to see the movie?<U>Yes, for tonight please.<A>There are two movie theaters in Cedar Creek North Carolina, do you have a preference?	[PN]find_theaters[PAN]name.movie[PAV]possession[PAN]location[PAV]Cedar Creek North Carolina	dlg-6bab1404-8282-4874-91d2-512bdea03de8
<U>I will watch it in Oak Valley, Arkansas.<C><U>Hello! I would like to go and see a movie tonight.<A>Sure. What movie would you like to see?<U>I am not sure. Can you help me out with that?<A>No problem. I can give you the names of a couple of movies playing in your area. What city are you going to see the movie in?	[PN]find_movies[PAN]location[PAV]Oak Valley, Arkansas	dlg-0a2dff09-562d-4d34-bdfc-67da646f1847
<PR>get_movie_attribute<PRAN>name.person<PRAV>Dean-Charles Chapman<C><U>Can you please give give me more info for the new movie called 1917?<PN>get_movie_attribute<PAN>name.movie<PAV>1917<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades<A>During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades<U>Great who is in the cast line up please?<PN>get_movie_attribute<PAN>name.movie<PAV>1917<PAN>attribute<PAV>name.person	[PN]get_movie_attribute[PAN]name.movie[PAV]1917[PAN]attribute[PAV]name.character	dlg-d5ad109f-45f4-480c-aca7-37dbdf2d2881
"<U>The second one please<C><U>I want to see a movie tonight.<A>OK. And where will you be seeing the movie?<U>Near my house ideally<A>OK. Can you give me the city and state?<U>Creek's End, Oregon<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>Not really...maybe something James Bond?<A>Ok. I think you are talking about No Time To Die. Does that sound right?<U>Yeah, ""No Time to Die"" is what I meant.<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I think action movies are always a great choice. In Creek’s End, Oregon, I see that No Time To Die is showing in two theaters: AMC Mountain 16 and AMC Mercado 24."	[PN]find_showtimes[PAN]name.movie[PAV]No Time To Die[PAN]date.showing[PAV]tonight[PAN]name.theater[PAV]AMC Mercado 24	dlg-0b2166f5-79a1-4a38-918a-99bdbf374fde
<PR>find_showtimes<PRAN>time.showing<PRAV>empty<C><U>I would like to see a movie tonight.<A>Okay which one do you want to see?<U>Star Wars<A>I can check your local theaters where do you want to go?<U>Hamilton?<A>At what time?<U>7:00 or 8:00 PM<PN>find_showtimes<PAN>name.movie<PAV>Star Wars<PAN>name.theater<PAV>Hamilton<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>7:00 or 8:00 PM	[A]There are no shows available at Hamilton at those times.	dlg-ec3eb5e8-57c5-47f2-8436-9083635323a2
"<U>Ain't that expensive?<C><U>This is more like the Eye of Sauron. *Laughter commences*<PN>find_theaters<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>Batcave Theater!<A>Hello there! Welcome to the Batcave Theater!\t<U>How's your day?<A>Good, good. How was yours?<U>Not bad, for a typical weekday!<A>What would you like to watch from our choices?<U>I would say something like ""I dunno, but I'VE GOT A PHD!"".<PN>find_movies<PAN>name.theater<PAV>Batcave Theater!<PR>find_movies<PRAN>name.movie<PRAV>Injustice 2<A>I would say Injustice 2 just might be your choice!<U>Who's in that?<PN>get_movie_attribute<PAN>name.movie<PAV>Injustice 2<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>BATMAN<PN>get_movie_attribute<PAN>name.movie<PAV>Injustice 2<PAN>attribute<PAV>name.character<PR>get_movie_attribute<PRAN>name.character<PRAV>Superman<PN>get_movie_attribute<PAN>attribute<PAV>name.character<PAN>name.movie<PAV>Injustice 2<PR>get_movie_attribute<PRAN>name.character<PRAV>Wonder Justice<PN>get_movie_attribute<PAN>attribute<PAV>name.character<PAN>name.movie<PAV>Injustice 2<PR>get_movie_attribute<PRAN>name.character<PRAV>KAHNDAQ<PN>get_movie_attribute<PAN>name.movie<PAV>Injustice 2<PAN>attribute<PAV>name.character<PR>get_movie_attribute<PRAN>name.character<PRAV>SHAZAM!<A>I'M BATMAN, Superman, Wonder Justice, Fastest Man Alive, BEWARE THE POWER OF GREEN LANTERN'S LIGHT, SHAZAM!, KAHNDAQ, FIRESTORM MATRIX BULLET-TIME.<U>Dayum, lots of people.<A>I know, it's not even have the DC cast.<U>What's DC mean?<A>Detective Comics, super old series, still popular today even.<U>Ohhhh, that's cool.<A>So, what'cha getin'?<U>The Batcave Theater, 20 tickets, 10 PM, today, with ""I dunno, BUT I'VE GOT A PHD!"".<A>Okay, that'll be $666, plus taxes."	[PN]book_tickets[PAN]name.movie[PAV]Injustice 2[PAN]name.theater[PAV]Batcave Theater![PAN]num.tickets[PAV]20[PAN]time.showing[PAV]10 PM[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-8600093f-230e-4f31-934d-6ca33c54cd20
<U>Spring Hills Kansas<C><U>I want to watch a movie<A>Ok, which location would you like to watch the movie	[A]Ok, do you have any movie in mind?	dlg-0aa4a48d-affb-4d13-bd18-25f48f80bc2b
