<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<C><U>Is the new Birds of Prey movie showing at the Bel Air Luxury Cinema?<PN>find_movies<PAN>name.theater<PAV>Bel Air Luxury Cinema<PAN>description.other<PAV>new<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Birds of Prey<A>Yes. Birds of Prey is being shown at the Bel Air Luxury Cinema.<U>What is the movie rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>Rated-R<A>The movie is Rated-R.<U>Is there a matinee showing of the movie around 10:00AM?<PN>find_showtimes<PAN>name.movie<PAV>Birds of Prey<PAN>name.theater<PAV>Bel Air Luxury Cinema<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 10:00AM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>Unfortunately, there is no matinee showing of this film at 10:00AM in any nearby theaters. Is there any other times you would prefer?<U>No. I want to see a movie at 10:00AM.<A>Do you have any other movie preferences?<U>What about Sonic the Hedgehog at the Devonshire Mall theater?<PN>find_movies<PAN>name.theater<PAV>Devonshire Mall<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Sonic the Hedgehog<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>Devonshire Mall<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 10:00AM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>Sonic the Hedgehog is playing at Devonshire Mall theater, but there are no showings around 10:00AM.<U>I may be able to change my showtime preference to 1:00PM. Are the Birds of Prey or Sonic the Hedgehog movies playing around 1:00PM?<PN>find_theaters<PAN>name.movie<PAV>Birds of Prey<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Fairlane 21<PN>find_theaters<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Fairlane 21<PN>find_showtimes<PAN>name.movie<PAV>Birds of Prey<PAN>name.theater<PAV>AMC Fairlane 21<PAN>date.showing<PAV>today<PAN>time.preference<PAV>1:00PM<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>AMC Fairlane 21<PAN>time.preference<PAV>10:00AM<PAN>date.showing<PAV>today	[A]The AMC Fairlane 21 has 1:00PM showtimes for both Birds of Prey and Sonic the Hedgehog.	dlg-ab7bc910-e728-4339-b0f6-f4f9b5dc2c1b
<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<C><U>Hoping to see a movie tonight.<A>Sure. What movie would you like to see?<U>I'm not sure yet. Would love to know what's playing around my area.<A>No problem. Can you tell me what city you’re in?<U>I'm in Oak Valley, Arkansas.<PN>find_movies<PAN>location<PAV>Oak Valley, Arkansas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Emma<A>Ok. There are a couple of popular films out in your area: No Time To Die and Emma. Do either of those sound interesting?<U>I've heard about No Time To Die, but not Emma. Can you tell me more about it?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Emma<PR>get_movie_attribute<PRAN>description.plot<PRAV>In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her<A>OK. Here’s the description of Emma: In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her.<U>That sounds like something I would enjoy. I'd like to get two tickets for Emma.<PN>find_theaters<PAN>location<PAV>Oak Valley, Arkansas<PAN>name.movie<PAV>Emma<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<PN>find_showtimes<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>Emma<PAN>name.theater<PAV>AMC Mercado 24	[A]OK. Emma is playing at AMC Mercado 24 today at 5:00pm, 7:10pm, and 9:45pm. Which time would you like?	dlg-ef09083c-477f-4ac9-ad91-a15ec0c31ed5
<U>I'm not even too sure what's playing currently.<C><U>I'm wanting to purchase some tickets tonight.<A>OK. Can you tell me the city and state where the theater is located?<U>Yes, Santa Barbara, California.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I see two theaters, AMC Mountain 16 and AMC Mercado 24. Are you interested in a particular movie?<U>Those theaters are so cool, I love the interior design in them.<A>OK. Is there a movie you have in mind?	[A]Sure. Do you have a favorite genre?	dlg-3b02bfa9-0c55-4e50-a6da-c534bdac9e4c
<U>Spring Hills, Kansas.<C><U>I want to see something funny tonight.<A>I'd be happy to help with that. Do you know what you'd like to see, or do you want some help?<U>Help me out.<PN>find_movies<PAN>description.other<PAV>something funny<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not my Problem<PRAV>Family Jewels<A>Not my Problem and Family Jewels are both being shown in theaters, and are listed as comedies. Do either of those interest you?<U>Are either of those romantic comedies?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedies<PN>get_movie_attribute<PAN>name.movie<PAV>Not my Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<A>Family Jewels is classified as a romantic comedy, while Not My Problem is classified as a comedy.<U>Family Jewels, then.<A>Certainly. How many tickets?<U>2 for my girlfriend and I.<A>Wonderful. What city would you like me to look in?	[PN]find_theaters[PAN]name.movie[PAV]Family Jewels[PAN]location[PAV]Spring Hills, Kansas	dlg-f2540620-b84f-4690-903e-f60e43b16199
<PR>check_tickets<PRAN>status<PRAV>available<C><U>Can you check show times for a movie tomorrow?<A>Certainly. What movie do you want to see?<U>I want to see Jumanji.<A>Which theater do you prefer?<U>At the AMC for a morning show.<PN>find_showtimes<PAN>name.movie<PAV>Jumanji<PAN>name.theater<PAV>AMC<PAN>date.showing<PAV>tomorrow<PAN>time.preference<PAV>morning show<PR>find_showtimes<PRAN>time.showing<PRAV>10:20 AM<A>I see one show at 10:20 AM. How many tickets do you need?<U>I will need four.<A>I can not get four tickets together for that show. Do you want me to check another theater or time?<U>Please check Harkins theater for the morning.<A>I see that they are not showing that movie in the morning.<U>Please check for Frozen II at the AMC for a morning show tomorrow.<A>I do not see that they are playing Frozen II in the morning tomorrow.<U>Please check the Harkins theater for Frozen II.<A>Harkins first show time is at 12:00.<U>Go back to Jumanji at AMC. How many seats can you get me together?<A>What time would you like me to check?<U>Check for the 10:20 AM show.<PN>check_tickets<PAN>name.movie<PAV>Jumanji<PAN>name.theater<PAV>AMC<PAN>num.tickets<PAV>four<PAN>time.showing<PAV>10:20 AM<PAN>date.showing<PAV>tomorrow<PAN>seating<PAV>any	[A]I see only single seats available for the 10:20 show.	dlg-95b400eb-bbc5-4d46-ad06-d06c72ef8c9f
<U>I would go with the 4:00PM, show as it gives us time to return home for dinner.<C><U>I am planning to watch a movie today. I live in Needles California. Any good theaters nearby?<PN>find_theaters<PAN>location<PAV>Needles California<PR>find_theaters<PRAN>name.theater<PRAV>Paramount Ultraplex<A>Yes sir, there is one nearby. It is the Paramount Ultraplex. There are two movies playing there.<U>May I know which ones are those?<PN>find_movies<PAN>location<PAV>Needles California<PAN>name.theater<PAV>Paramount Ultraplex<PR>find_movies<PRAN>name.movie<PRAV>The Catch<PRAV>Two Times Trouble<A>The movies are The Catch and Two Times Trouble. Would you like to watch them?<U>Yes, but I would like to know if it matches my schedule. I would like to know the showtimes of these movies today.<PN>find_showtimes<PAN>name.theater<PAV>Paramount Ultraplex<PAN>name.movie<PAV>The Catch<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>6:10pm<PRAV>8:30pm<PRAV>10:40pm<PN>find_showtimes<PAN>name.movie<PAV>Two Times Trouble<PAN>name.theater<PAV>Paramount Ultraplex<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>8:40pm<PRAV>10:40pm<A>Alright, so I have found that the Showtimes for The Catch is 4:00pm 6:10pm, 8:30pm and 10:40pm and Showtimes for Two Times Trouble is 8:40pm and 10:40pm<U>Okay I would also like to know the synopsis of the movies to know if it is interesting.<PN>get_movie_attribute<PAN>name.movie<PAV>The Catch<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Old Man McCormick who enjoys his quiet days on the river until an unwanted package changes things forever<A>So The Catch is about and Old Man McCormick who enjoys his quiet days on the river until an unwanted package changes things forever.<U>Okay that is interesting. Now tell me about the Two Times Trouble.<PN>get_movie_attribute<PAN>name.movie<PAV>Two Times Trouble<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>It is about a girl named Sadie. Sadie’s life is busy enough with a teenager and two jobs but things get crazy when she gets unexpected news from her doctor<A>It is about a girl named Sadie. Sadie’s life is busy enough with a teenager and two jobs but things get crazy when she gets unexpected news from her doctor.<U>Alright, I think I would go with The Catch, since its me and my two friends who want to watch it together.<A>In that case, definitely the catch is a good movie to watch with friends since its interesting and seems suspenseful.<U>Yes correct. Book the tickets for The Catch today please.<A>Alright, what showtime would be perfect for you?	[A]Alright, how many tickets should I book?	dlg-4039c1fb-0b01-4c37-b271-7772d693879f
<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<C><U>Hello, there, can you assist in getting some E tickets?<A>of course, do you know what you need tickets for?<U>I want to see a movie, I am in Spring Hills Kansas.<A>Of course, do you know which movie you want? How about a genre of film?<U>I'm really in the mood to laugh I think.<PN>find_theaters<PAN>location<PAV>Spring Hills Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday theater<A>Of course, there are some comedic type films. AMC Holiday theater has two.<U>What are they?<PN>find_movies<PAN>location<PAV>Spring Hills Kansas<PAN>name.theater<PAV>AMC Holiday theater<PAN>name.genre<PAV>comedic	[PN]get_movie_attribute[PAN]name.movie[PAV]Not My Problem[PAN]attribute[PAV]rating.movie	dlg-84414295-0bdc-40ce-a8ab-1bf1c4295038
<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>7:10pm<PRAV>9:45pm<C><U>I'm looking for some information on movies. What can you tell me about the mystery where the guy who played James Bond plays a detective?<PN>resolve_movie<PAN>name.movie<PAV>The mystery where the guy who played James Bond plays a detective.<PR>resolve_movie<PRAN>name.movie<PRAV>Knives Out<A>Happy to help! Let me just confirm that the movie you're talking about is Knives Out. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>Knives Out<PAN>location<PAV>Indianapolis, Indiana<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. Knives Out is playing at both AMC Mountain 16 and Cinemark Plaza 24 in Indianapolis, Indiana.<U>There's another one I need help with. It's the Korean movie where the birthday party at the end turns into a bloodbath. Do you know the title?<A>Let me check.<PN>resolve_movie<PAN>name.movie<PAV>The Korean movie where the birthday party at the end turns into a bloodbath.<PR>resolve_movie<PRAN>name.movie<PRAV>Parasite<A>I found some titles that might be what you're thinking of. The first is Long Way To Darkness. The second is Parasite. Are either of those the one you want?<U>Parasite. That's it.<A>Great let me check theaters.<U>OK.<PN>find_theaters<PAN>name.movie<PAV>Parasite<PAN>location<PAV>Indianapolis, Indiana<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<A>I looks like Parasite is only playing at AMC Mountain 16.<U>Okay, there's one more. It's the Tarantino movie with Leonardo DeCaprio and Brad Pitt. What's that one called?<A>The Tarantino movie with Leonardo DeCaprio and Brad Pitt.. Let me see what I can find.<PN>resolve_movie<PAN>name.movie<PAV>The Tarantino movie with Leonardo DeCaprio and Brad Pitt.<PR>resolve_movie<PRAN>name.movie<PRAV>_empty_<A>Unfortunately I cannot find any movie title that matches your description.<U>That's okay. What are the showtimes for Knives Out at AMC Mountain 16?<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>name.movie<PAV>Knives Out	[A]Showtimes for Knives Out at AMC Mountain 16 are 4:30pm, 7:10pm, and 9:45pm.	dlg-d6aeb1fc-99e2-4713-a8d0-93eccb80f655
<U>I am interested in showings at Cinemark 20<C><U>Hello<A>Good Afternoon<U>I am interested in watching a movie today with my wife<A>Ok. What theater are you interested in?	[PN]find_movies[PAN]name.theater[PAV]Cinemark 20[PAN]location[PAV]nearby	dlg-90328fce-eecb-45e5-9a3a-ba46f7e13814
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I'd to go to see a movie near me tonight.<A>OK. And in what city?<U>I'm in Creek's End, Oregon.<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>I'm thinking I'd like to see Mulan. I've heard really good things about it.<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>Sure. In Creek’s End, Oregon, I see that Mulan is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>AMC Mercado 24 is better because it's a lot closer to my house and the seats are more comfortable.<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>No problem. It looks like tonight’s remaining showtimes for Mulan at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?<U>5:00 pm, the earliest showtime.<A>Great. And how many tickets?<U>Sorry, which theater is this for? I forget.<A>Sure, you chose AMC Mercado 24.<U>Ok, yes. What is the showtime I chose?<A>For the showtime you said you preferred 5:00pm.<U>Ok, sorry for that. I got it now. What was your last question you needed from me?<A>I was just asking you how many tickets you'll need.<U>Yes, I'll need three tickets.<A>All right. Let me confirm that you’d like three tickets for Mulan at AMC Mercado 24 tonight at 5:00pm. Is that all correct?<U>Yes, I confirm.<A>Is it OK to go ahead and purchase these tickets?<U>Yes, please.<PN>book_tickets<PAN>num.tickets<PAV>three<PAN>name.movie<PAV>Mulan<PAN>name.theater<PAV>AMC Mercado 24<PAN>date.showing<PAV>tonight<PAN>time.showing<PAV>5:00pm	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-523dc68a-e10a-4372-87ab-c0a507df4102
"<PR>find_showtimes<PRAN>time.showing<PRAV>7pm<C><U>Hi! Yes, I am looking to book a movie ticket for later tonight, but I needed some more information on what is showing right now. Could you help me with that?<A>Yes! I would be more than happy to help you with picking out a movie. What kind of a movie are you looking for? Mystery? Drama? Comedy?<U>Yea, great question. I think I am more in the mood for a comedy, maybe a romantic comedy even.<A>Of course. We definitely have a few of those showing right now. Currently, we have two different movies you might be interested in. Are you looking for any particular time slots? That might help narrow it down as well.<U>I am looking to head there sometime tonight, so something between 6pm and 8pm.<PN>find_movies<PAN>name.genre<PAV>Comedy<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>""Not My Problem""<PRAV>""Family Jewels""<A>That is perfect! It looks like we have some showtimes available at that time. As I mentioned, we have two different movies at this time that are comedies. They are ""Not My Problem"" and ""Family Jewels"".<U>Oh! Interesting. Who are the lead actors/actresses in those movies?<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>""Not My Problem"" is starring Matt Damon and Noah Schnapp, and ""Family Jewels"" is starring Melissa McCarthy and Ryan Reynolds.<U>I really like Matt Damon and Ryan Reynolds both. Hmmm... how are the movies? Do they have a Rotten Tomatoes score?<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>72%<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>69%<A>They do! ""Not My Problem"" has a score of 72%, while ""Family Jewels"" has a score of 69%. So, it seems like they are fairly close in score.<U>Yea, that doesn't narrow it down too, too much for me. What about time slots? They both have showings close to the 6-8 window? Right?<PN>find_showtimes<PAN>name.movie<PAV>""Not My Problem""<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>between 6pm and 8pm"	"[PN]find_showtimes[PAN]name.movie[PAV]""Family Jewels""[PAN]date.showing[PAV]tonight[PAN]time.preference[PAV]between 6pm and 8pm"	dlg-52261e72-4a98-436e-b9b5-03acd4b64a25
<U>I need 'em for my two army buddies and myself.<C><U>Hello there. I'd like to get tickets tonight for AMC Mountain 16.<A>No problem. Is there a particular type of movie you’re looking for?<U>I think we'd all agree it has to be like an action, shoot 'em up movie.<A>Sure. I can help with that. Let me check listings at AMC Mercado 24.<U>Did you say AMC Mercado 24? It needs to be AMC Mountain 16.<A>Oh, sorry about that. So you’re interested in action films at AMC Mountain 16, right?<U>You got it.<PN>find_movies<PAN>name.genre<PAV>action<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>OK. I see one action movie playing at AMC Mountain 16: No Time To Die. Remaining showtimes are 4:30pm, 6:40pm and 9:10pm. Does any of those work?<U>Yeah. That 9:10 pm one sounds like it would work for us.<A>Great. And how many tickets?	[A]All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?	dlg-9fd9ee02-1718-4f24-a438-b7a3219c0e85
<U>I wanna compare some information about some movies.	[A]I can definitely do that for you. What movies are you looking at?	dlg-17397361-5278-41fe-854b-46ba8ae246b5
<U>ok, looking for 1917 instead<C><U>need to get tickets<A>To a movie?<U>yes<A>what showing?<U>Dolittle, already decided.<A>Ok, for what time?<U>7:00 PM<A>what theater?<U>cinerama<A>what town?<U>seattle<PN>check_tickets<PAN>name.movie<PAV>Dolittle<PAN>name.theater<PAV>cinerama<PAN>num.tickets<PAV>one<PAN>time.preference<PAV>7:00 PM<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>available<A>Ok, that is available, do you want to purchase<U>hold one, i might need to change the movie<A>ok, let me know	[PN]check_tickets[PAN]name.movie[PAV]1917[PAN]name.theater[PAV]cinerama[PAN]num.tickets[PAV]one[PAN]time.preference[PAV]7:00 PM[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-e39fc057-54ae-4b1e-8a0d-3600a7e7e135
<U>Interesting! What are people saying about it? Does it have good ratings?<C><U>Hey! Would you like to go to the movies tonight?<A>Sure. What movie would you like to see?<U>Hmm... Do you have any idea what is playing at Boulevard 14 Cinema? The one thats in Petaluma, California?<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>Oh! Do you know what Mulan is about?<A>Sure. What specifically would you like to know?<U>Do you know the storyline?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>description.plot<PRAV>Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way<A>OK. Here’s the synopsis of Mulan: Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way.	[PN]get_movie_attribute[PAN]attribute[PAV]review.audience[PAN]name.movie[PAV]Mulan	dlg-68557db4-7955-4868-a8fa-aaba571caa67
"<U>Thank you. How many miles is the drive from my address at 1234 5th Street to the movie location.<C><U>Is The Hunt playing in San Diego California today, March 14th, 2020?<PN>find_movies<PAN>location<PAV>San Diego California<PR>find_movies<PRAN>name.movie<PRAV>The Hunt<PRAV>Onward<PRAV>I Still Believe<PRAV>Bloodshot<PRAV>The Invisible Man<A>Yes. The top five movies playing in San Diego today are: Onward, I Still Believe, Bloodshot, The Hunt, and The Invisible Man.<U>We want to see The Hunt. What locations are playing The Hunt?<PN>find_theaters<PAN>name.movie<PAV>The Hunt<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>Star Cinemas<PRAV>AMC Mission Valley<PRAV>AMC Chula Vista<A>The Hunt is playing at Star Cinemas, AMC Mission Valley, and AMC Chula Vista.<U>What times is The Hunt playing at AMC Chula Vista?<PN>find_showtimes<PAN>name.movie<PAV>The Hunt<PAN>name.theater<PAV>AMC Chula Vista<PAN>date.showing<PAV>today, March 14th, 2020<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>3pm<PRAV>5pm<PRAV>9pm<A>The Hunt is playing at AMC Chula Vista at 3pm, 5pm, and 9pm.<U>Ok. How much are adult tickets to The Hunt at AMC Chula Vista?<A>Tickets are $13 for adults on regular screen and $19 for 4-D IMAX screen.<U>Ok please book two adult tickets to see The Hunt at AMC Chula Vista today March 14th 2020 at 5pm.<A>Sure, please confirm your selection to book two adult tickets to see The Hunt at AMC Chula Vista today March 14th 2020 at 9pm by saying ""book now""<U>Wait! No. Please book 2 tickets for FIVE PM not NINE PM showing of The Hunt at AMC Chula Vista today.<A>Please confirm your selection to book two adult tickets to see The Hunt at AMC Chula Vista today March 14th 2020 at 5pm by saying ""book now""<U>Book now<PN>book_tickets<PAN>name.movie<PAV>The Hunt<PAN>name.theater<PAV>AMC Chula Vista<PAN>num.tickets<PAV>two adult<PAN>time.showing<PAV>5pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>book_tickets<PRAN>status<PRAV>success<A>Copy. Your tickets have been purchased. Two adult tickets to 5pm showing of The Hunt at AMC Chula Vista this evening, March 14th, 2020. Your total comes to $26. Your tickets have been sent to your email inbox.<U>Checking inbox... ok thank you.<A>Certainly. Please follow instructions and present confirmation number 123456789910 at the box office upon arrival."	[A]Checking mapquest.... the distance is 5.5 miles.	dlg-27d72948-5bb8-4b1a-9d5a-4d389b4ce51e
<U>Yes it is.<C><U>Hi! I am looking for a good movie to go to tonight.<A>OK. Can you tell me the city and state where the theater is located?<U>We are staying in Santa Barbara, California.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I see two theaters, AMC Mountain 16 and AMC Mercado 24. Are you interested in a particular movie?<U>I actually enjoy both of those movie theaters.<A>OK. Is there a movie you have in mind?<U>It has been awhile since we went to the theater and I'm not sure what movies are playing.<A>Sure. Do you have a favorite genre?<U>What does Genre mean?<A>Genre is the movie category, like comedy, drama, action, etc.<U>Thank you, I thought that was what it meant but wasn't positive. I like action movies.<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<A>Ok. Let’s see what action films are out.<PN>find_movies<PAN>name.theater<PAV>AMC Mercado 24<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>empty<A>I found one action movie at AMC Mountain 16: No Time To Die.<U>What are the show times for No Time To Die?<A>One moment.<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>Remaining showtimes for No Time To Die are 4:30pm, 6:40pm and 9:10pm.<U>The 9:10pm would work best.<A>Got it. And how many tickets?<U>My husband, son and I are going to the movie.<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?<U>Yes, that is correct.<A>Is it OK to go ahead and purchase these tickets?	[PN]book_tickets[PAN]name.movie[PAV]No Time To Die[PAN]name.theater[PAV]AMC Mountain 16[PAN]time.showing[PAV]4:30pm[PAN]num.tickets[PAV]three[PAN]date.showing[PAV]tonight	dlg-b269131a-8cc7-4779-80ca-ad73a29d6e4a
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I would like to order some tickets for a movie.<A>What movie would you like to see?<U>Star Wars.<A>How many tickets would you like to order?<U>4 tickets.<A>What theater would you like to use?<U>AMC if possible.<PN>find_theaters<PAN>name.movie<PAV>Star Wars<PAN>location<PAV>10 miles away<PR>find_theaters<PRAN>name.theater<PRAV>AMC<PN>find_theaters<PAN>name.movie<PAV>Star Wars<PAN>location<PAV>30 miles away<PR>find_theaters<PRAN>name.theater<PRAV>AMC<A>There are 2 AMC theaters, 1 is 10 miles away, the other is 30 miles away.<U>Use the closest one.<PN>find_showtimes<PAN>name.movie<PAV>Star Wars<PAN>name.theater<PAV>AMC<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>noon<PRAV>2 PM<PRAV>10 PM<PRAV>6 PM<A>Star Wars is showing at AMC, closest to you at noon, 2 PM, 6 PM and 10 PM.<U>2 PM sound good. Do they have concessions?<A>Yes, this AMC theater has concessions.<U>Do they have handicapped parking and ramps?<A>Yes, this AMC is handicapped friendly.<U>Change of plan, get me 2 tickets instead of 4.<A>Confirmation of 2 tickets instead of 4 for Star Wars?<U>Yes. Is it widescreen?<A>Yes, AMC is widescreen.<U>I would like to place the order.<PN>book_tickets<PAN>name.movie<PAV>Star Wars<PAN>name.theater<PAV>AMC<PAN>num.tickets<PAV>2<PAN>time.showing<PAV>2 PM<PAN>date.showing<PAV>today<PAN>seating<PAV>any	[A]Confirming 2 tickets for Star Wars at the AMC closest to you to be seen at 2 PM today.	dlg-6df50d83-f036-4514-b32e-d3bb5b3bb980
