<U>Yes, I'd like to buy movie tickets for today.	[A]I'd be glad to assist you. Do you know what you want to see, or would you like some help?	dlg-b422568e-0f8d-42f3-9bf3-e118807699ae
<U>Hi, i need help to book tickets for movie	[A]Ya sure do u have any movie in your mind	dlg-04354428-984b-4029-bd83-a9cb48be86e6
<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG<C><U>What genre is the movie joker?<PN>get_movie_attribute<PAN>name.movie<PAV>joker<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Crime, drama, thriller<A>Crime, drama, thriller<U>What is the rating of Joker?<PN>get_movie_attribute<PAN>name.movie<PAV>joker<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<A>R<U>Is Maleficent: mistress of evil Suitable for young children?<PN>get_movie_attribute<PAN>name.movie<PAV>Maleficent: mistress of evil<PAN>attribute<PAV>rating.movie	[A]Maleficent: Mistress of Evil is rated PG	dlg-870b04a5-679a-40b4-ad37-7958512953a2
<U>4:00pm for Mulan and 3:00pm for no time to die two tickets please.<C><U>HelloI would like to purchase tickets?<A>What movie would you like to see ?<U>No Time To Die OR Mulan<A>What location are you at?<U>Hillview Oregon<A>What theatre would you like?<U>Mountain AMC 16<A>What time would you like ?	[A]Ok let me see what we have >>	dlg-61bb017d-836d-4d17-b941-209194a761a9
<U>What theater is it playing at?<C><U>Hi, I want to see a movie with my friend today.<A>What city please.<U>Spring Hills, Kansas.<A>What time of day?<U>Evening please.<A>Do you have a certain movie in mind?<U>I just would like to see either Family Jewels or Shuttered. Can you please tell me more about them?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 69%<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer who leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds.While<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 61%<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker who moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>Yes, Family Jewels is a Romantic Comedy rated R and given by Rotten Tomatoes 69%. It tells of A famous diamond dealer who leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist. It has Stars Melissa McCarthy and Ryan Reynolds.While, Shuttered is a Horror rated R and given by Rotten Tomatoes 61%. It's about Sarah Decker who moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.<U>They both sound interesting, but what time is Shuttered playing?<PN>find_showtimes<PAN>name.movie<PAV>Shuttered<PAN>date.showing<PAV>today<PAN>time.preference<PAV>Evening<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:45<PRAV>9:00pm<A>It's playing at 3:00pm, 5:45, and 9:00pm	[PN]find_theaters[PAN]location[PAV]Spring Hills, Kansas[PAN]name.movie[PAV]Shuttered	dlg-0b206f72-1647-4fda-a835-aaff2049d30f
"<U>Thanks. Where and when is the Matt Damon movie playing on that same date?<C><U>I'm looking for films currently playing in Spring Hills, Kansas.<A>I can help you with that. Searching. I found five movies that are currently playing in Spring Hills, Kansas. How else can I help?<U>I don't want to see a ""kiddie"" film rated G. I'm looking for an adult movie.<A>Okay. Four movies may meet your criteria. Two are rated PG-13 and two are rated R. How else can I help you?<U>Check Rotten Tomatoes scores for each film. Eliminate any movies with a score lower than 70%.<PN>find_movies<PAN>description.other<PAV>Rotten Tomatoes scores for each film. Eliminate any movies with a score lower than 70%<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>""Not My Problem""<PRAV>""Beyond the Storm""<A>Certainly. Two movies meet your criteria. Movie #1 is a Comedy rated PG-13 with a Rotten Tomatoes score of 72%. Movie #2 is an Action film rated PG-13 with a Rotten Tomatoes score of 81%. How else can I help?<U>Tell me both these movies.<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<PN>get_movie_attribute<PAN>name.movie<PAV>""Beyond the Storm""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>""Beyond the Storm""<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>""Beyond the Storm""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<A>Of course. Movie #1 is entitled, ""Not My Problem"". It is a comedy rated PG-13. The film stars Matt Damon and Noah Schnapp. Movie #2 is entitled, ""Beyond the Storm"". This Action film is rated PG-13. The movie was directed by James Cameron.<U>Tell me what both films are about, please.<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>""A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem.""Here's<PN>get_movie_attribute<PAN>name.movie<PAV>""Beyond the Storm""<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board.""<A>Of course. Here's a brief synopsis of ""Not My Problem"": ""A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem.""Here's a brief synopsis of ""Beyond the Storm"": Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board.""<U>Check if the James Cameron listed as the director of ""Beyond the Storm"" is the same James Cameron who directed the movies ""Titanic"" and ""Avatar"".<A>I'm sorry. I don't have that information. How else can I help?<U>Where is ""Beyond the Storm"" playing on Saturday, August 15th?<PN>find_theaters<PAN>name.movie<PAV>""Beyond the Storm""<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>find_showtimes<PAN>name.movie<PAV>""Beyond the Storm"":<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>Saturday, August 15th<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1:30pm<PRAV>3:40pm<PRAV>6:10pm<PRAV>8:30pm<A>""Beyond the Storm"" is playing at the Cinemark Downtown Theater on Saturday, August 15th. Showtimes are at 1:30pm, 3:40pm, 6:10pm and 8:30pm."	"[PN]find_theaters[PAN]name.movie[PAV]""Not My Problem""[PAN]location[PAV]nearby"	dlg-c8788b9f-66f1-4be9-9764-5c6a80e591f4
<PR>get_movie_attribute<PRAN>name.person<PRAV>Clyde Stewart<C><U>I'm looking to go to the movies tonight.<A>OK. Do you have anything in mind?<U>No, not really.<A>Sure. And what city are you looking in?<U>I live in Brando, Texas and would like very close to there.<A>Brando, Texas. Got it. And is there a particular type of movie you’d like to see?<U>What movies are out? I'm not sure of any current.<PN>find_movies<PAN>location<PAV>Brando, Texas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Stella’s House<A>A few titles playing in your area are No Time To Die, Mulan, and Stella’s House.<U>Oh, Stella's House!? Really?! That's great, I can't believe that. Who is the director?<PN>get_movie_attribute<PAN>attribute<PAV>name.person<PAN>name.movie<PAV>Stella’s House	[A]The director of Stella’s House is Clyde Stewart.	dlg-3f5e05ea-61fb-4bab-8305-5f9a8630107c
<PR>get_movie_attribute<PRAN>review.critic<PRAV>has a rating of 91%<C><U>I want to take the family to the movies tonight.<A>Great idea! What film are you interested in seeing?<U>I'm not sure. What would be good for the whole family?<PN>find_movies<PAN>description.other<PAV>good for the whole family<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Beyond the Storm<PRAV>Backcountry<A>There are two movies that are good for family viewing: Beyond the Storm and Backcountry.<U>Oh I haven't heard of either of those. What are they each about?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>is about a fishing vessel which has to overcome both storms and a mutiny<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>documentary<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>is a documentary about Yosemite<A>Beyond the Storm is about a fishing vessel which has to overcome both storms and a mutiny. Backcountry is a documentary about Yosemite.<U>Oh both of those sound good. How are the reviews?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>has a Rotten Tomatoes rating of 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic	[A]Beyond the Storm has a Rotten Tomatoes rating of 81%, and Backcountry has a rating of 91%.	dlg-be4c52bf-e03d-4a6c-a92d-70d3c91756d1
<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<C><S><A>Hello. How can I help you?<U>I am interested in seeing the james bond movie<PN>resolve_movie<PAN>name.movie<PAV>the james bond movie<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<PN>find_movies<PAN>name.character<PAV>james bond	[A]Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?	dlg-2e83e4bb-a0fa-4f27-94ea-3f576ca71f23
<PR>find_movies<PRAN>name.movie<PRAV>Lighthouse<C><U>What movie should I watch today?<A>What kind of movie are you in the mood for?<U>Hmm something with some thrills, I like to be at the edge of my seat.<A>Might I suggest Ready or Not? A horror film currently in theaters that critics seem to like.<U>Ive already seen that one, I like a movie with a little bit more substance than that.<A>Do you like to discuss film meanings with friends?<U>I do, that's half of the movie going experience for me! I love being able to disect and discuss a good movie.<PN>find_movies<PAN>description.other<PAV>a movie with a little bit more substance than that<PAN>location<PAV>nearby	[PN]get_movie_attribute[PAN]name.movie[PAV]Lighthouse[PAN]attribute[PAV]name.person	dlg-5aff0588-3808-453d-8b7f-987fca51ca83
<U>Hillview Oregon<C><U>What's playing tonight?<A>What city would you like to check?	[PN]find_theaters[PAN]location[PAV]Hillview Oregon	dlg-3af393d2-0720-478a-a47b-24853f0ec1bb
<U>No, my boyfriend is coming along actually.<C><U>Hi, I'd like to order some movie tickets.<A>Ok, what movie would you like to see?<U>I'd like to take my little sister to see Frozen II<A>Great! So, that would be two tickets then?	[A]Ok, three tickets for Frozen II. What time would you like to see the movie?	dlg-5c24db12-c81d-4e81-ad49-278ce734551a
<PR>get_movie_attribute<PRAN>review.audience<PRAV>92%<C><U>I'd love to see a good movie tonight!<A>Sure. What movie would you like to see?<U>Nothing specific on my mind. Can you tell me what is playing at Boulevard 14 Cinema in Petaluma, California?<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>Hmm, Mulan sounds appealing. Could you tell me what it is about?<A>Sure. What specifically would you like to know?<U>Could you tell me the basic plot of the movie?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>description.plot<PRAV>Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way<A>OK. Here’s the synopsis of Mulan: Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way.<U>Okay,cool. Thank you! What are the rating for Mulan?<PN>get_movie_attribute<PAN>attribute<PAV>review.audience<PAN>name.movie<PAV>Mulan	[PN]get_movie_attribute[PAN]attribute[PAV]review.critic[PAN]name.movie[PAV]Mulan	dlg-a2f0bc0c-0b20-4c0b-be86-c3951949c068
<U>I would like to see an action movie.<C><U>I would like to buy tickets for the AMC Mountain 16 theater tonight.<A>No problem. Is there a particular type of movie you’re looking for?	[A]Sure. I can help with that. Let me check listings at AMC Mercado 24.	dlg-288a49ea-31a5-4c67-a584-f1f665a2515f
<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes gave it 61%<C><U>I would like to book some movie tickets.<A>I can help with that. Where are you located?<U>Spring Hills, Kansas.<A>When would you like to go to the movies?<U>This evening please.<A>How many tickets do you want.<U>Two in total please.<A>Do you know what movie you want to see?<U>I have no idea so it would be helpful if you could summarize some.<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PRAV>Cinemark Downtown<A>There are two theaters near you, AMC Holiday Theater and Cinemark Downtown. Do you have a preference?<U>I would prefer AMC Holiday Theater.<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>AMC Holiday Theater<PR>find_movies<PRAN>name.movie<PRAV>Shuttered<PRAV>Not My Problem<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic	[PN]get_movie_attribute[PAN]name.movie[PAV]Shuttered[PAN]attribute[PAV]description.plot	dlg-76f02d3e-187b-46af-bf31-658472bccdd9
<U>That is correct.<C><U>Hello. Would you be able to help me book some movie tickets?<A>I can help with that, absolutely. To help me find out what is playing near you can you give me your location?<U>I am in Spring Hills, Kansas.<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PRAV>AMC Holiday Theater<A>I see you have Cinemark Downtown and AMC Holiday Theater near you. Do you prefer one over the other?<U>Cinemark would be slightly more convenient. Can you give me a little summary of the movies playing there?<PN>find_movies<PAN>name.theater<PAV>Cinemark Downtown<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Beyond The Storm<PRAV>Backcountry<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes gave it 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<A>Yes, there are two movies playing there. The first one is called Beyond The Storm. This is an action film and it is rated PG-13. Rotten Tomatoes gave it 81%. Here is the synopsis: Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board. The film is directed by James Cameron.<U>I do like James Cameron. Can you also tell me about the other movie?<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>documentary<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes gave it a score of 91%<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>G<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>You can explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks<A>Certainly. Backcountry is a documentary set in the outdoors. It is rated G. Rotten Tomatoes gave it a score of 91%. You can explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks.<U>That sounds good too. I will go with Beyond the Storm though. It sounds like something my friends would like.<A>Okay. How many tickets would you like?<U>Five tickets please.<A>What day would you like to go?<U>We want to go this evening.<PN>find_showtimes<PAN>name.movie<PAV>Beyond The Storm<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>this evening<PR>find_showtimes<PRAN>time.showing<PRAV>6:10pm<PRAV>8:30pm<A>Let me pull up the showtimes for this evening. There are showtimes at 6:10pm and 8:30pm.<U>I will take the 8:30pm.<A>Okay. Before I confirm the details is there anything else I can help you with?<U>That will be all! Thank you.<A>Okay. Let's confirm the details then. That will be five tickets for this evening's 8:30pm showing of Beyond the Storm at Cinemark Downtown in Spring Hills, Kansas.	[PN]book_tickets[PAN]name.movie[PAV]Beyond The Storm[PAN]name.theater[PAV]Cinemark Downtown[PAN]num.tickets[PAV]Five[PAN]time.showing[PAV]8:30pm[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-8c824dfd-c119-4656-b7f5-7b4b8f6719dc
<U>i will conform<C><U>what is the movie running on tonight<A>Sure. What movie would you like to see?<U>what movie playing on boulevard 14 cienema in petaluma califonia<PN>resolve_theater<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>resolve_theater<PRAN>name.theater<PRAV>Boulevard 14 Cinema<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>please tell me about mulan<A>Sure. What specifically would you like to know?<U>tell me about a movie<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>description.plot<PRAV>Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way<A>OK. Here’s the synopsis of Mulan: Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way.<U>what is the rating of the movie<PN>get_movie_attribute<PAN>attribute<PAV>review.audience<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.audience<PRAV>92%<PN>get_movie_attribute<PAN>attribute<PAV>review.critic<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.critic<PRAV>87% Rotten Tomatoes<A>Mulan has an 87% Rotten Tomatoes score and a 92% audience rating.<U>i like no time to die movie<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>Boulevard 14 Cinema<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>7:30pm<PRAV>10:55pm<A>OK. No Time To Die is playing 4:00pm, 7:30pm, and 10:55pm. Which time would you like?<U>choose 10:55pm movie<A>All right. Let me confirm that you’d like two tickets for No Time To Die at Boulevard 14 Cinema tonight at 10:55pm. Is that all correct?	[A]Is it OK to go ahead and purchase these tickets?	dlg-fdca0c4c-4e70-4156-8578-87ec011b8e6d
<U>Yes, that is all.<C><U>Hi! I would like to watch a movie tonight!<A>Have you already decided on a movie?<U>Yes, I would like to watch 1917.<A>How many tickets will you need.<U>I will only need 1 ticket.<A>Any screening preferences for you?<U>Yes, the 3D experience for me, please.<A>What theater would you prefer?<U>The AMC Theater in Niles.<A>What time works best for you?<U>The 9 PM showing is great for me.<A>Would that be all?<U>I actually need to change my screening preference from 3D to standard.<A>Would that be all?	[A]1 ticket to 1917 in standard viewing at 9 PM at the AMC Theater in Niles, is that correct?	dlg-6a8a30d5-254d-462b-a6c1-98fecd4a65ae
<U>That sounds strange. What is Family Jewels about?<C><U>I need to buy some movie tickets.<A>Okay. What movie would you like to see?<U>I'd like to see Vanished tomorrow night, kinda close to dinner time.<A>And what theater?<U>I guess AMC Holiday or anything in Spring Hills.<A>I don't see Vanished playing in Spring Hills currently.<U>Oh, it may not be out yet. Can you let me know what's playing at AMC Holiday?<PN>find_movies<PAN>name.theater<PAV>AMC Holiday<PAN>location<PAV>Spring Hills<PR>find_movies<PRAN>name.movie<PRAV>Family Jewels<PRAV>Not My Problem<PRAV>Shuttered<A>Certainly. The movies playing at AMC Holiday currently are Family Jewels, Not My Problem, and Shuttered. Do any of those sound like something you'd like to see?<U>What is Shuttered about? Is it a horror film?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>It's about a woman who moves to upstate New York to work on her distant cousins haunted marijuana farm<A>Yes, it's a horror film rated R. It's about a woman who moves to upstate New York to work on her distant cousins haunted marijuana farm.	[PN]get_movie_attribute[PAN]name.movie[PAV]Family Jewels[PAN]attribute[PAV]name.genre	dlg-ad116593-70c5-4f60-9c53-8fba88a97457
<U>my credit card is 1230-54023-01 ex 11/21<C><U>I would like to buy 4 tickets for Little Women today.<A>What time?<U>7:30pm<A>which theater do you live near?<U>I'd like to go to Cinemark on Main Street.<A>Perfect - do you want a 3D screen?<U>No just regular<PN>check_tickets<PAN>name.movie<PAV>Little Women<PAN>name.theater<PAV>Cinemark<PAN>num.tickets<PAV>4<PAN>time.preference<PAV>7:30pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>available<A>I see 4 seats available on row 1 and on row 5.<U>please take 4 seats on row 5 please.<PN>check_tickets<PAN>name.movie<PAV>Little Women<PAN>name.theater<PAV>Cinemark<PAN>num.tickets<PAV>4<PAN>time.preference<PAV>7:30pm<PAN>date.showing<PAV>today<PAN>seating<PAV>row 5<PR>check_tickets<PRAN>status<PRAV>available<A>ok I have held 4 seats row 5 at 730 for Cinemark on Main for tonight at the regular screen.<U>thank you<A>now I just need your credit card to buy them.	[A]thank you and I'll need your email to send you the receipt and tickets.	dlg-7ce89d1a-d2e7-489e-8963-ba926ee091f6
<U>I do have a screen preference. IMAX<C><U>I would like to order tickets for Jumanji: The next Level.<A>What theater would you like to visit?<U>I would like to see the movie at Lafayette 7.<A>Do you have a screen preference?<U>I prefer IMAX.<A>you might have a screen preference?	[A]You prefer IMAX, correct?	dlg-752553f1-6074-4269-8cb2-22ebd7d09918
<U>confirm.<C><U>hello, i have a plan for a movie tonight.<A>OK. And where will you be seeing the movie?<U>i'll prefer Creek's end Oregon.<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>i prefer mulan because kids are involved.<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>Sure. Disney seems like a great choice. In Creek’s End, Oregon, I see that Mulan is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>i have a idea to prefer my nearest theater AMC Mercado 24<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>No problem. It looks like tonight’s remaining showtimes for Mulan at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?<U>i prefer the earliest timing 5:00 pm<A>Great. And how many tickets?<U>i have a plan with my friends totally three tickets.<A>All right. Let me confirm that you’d like three tickets for Mulan at AMC Mercado 24 tonight at 5:00pm. Is that all correct?	[A]Is it OK to go ahead and purchase these tickets?	dlg-9f63da3b-5d86-499b-a710-b519768ec584
<U>N/A<C><U>Hello. I am looking to buy 2 tickets for Mulan at the Mountain AMC 16 today at 4 pm.<A>Hi, I can definitely help you with your order. I have 2 tickets for No Time to Die at the Mountain AMC 16 today at 4 pm.<U>Everything is correct except the movie. I want to see Mulan, not No Time to Die<A>Sorry about that. I will order 2 tickets for Mulan at the Mountain AMC 16 today at 4 pm.<U>That is perfect. Please send them to my email.<PN>book_tickets<PAN>name.movie<PAV>Mulan<PAN>name.theater<PAV>Mountain AMC 16<PAN>num.tickets<PAV>2<PAN>time.showing<PAV>4 pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>book_tickets<PRAN>status<PRAV>success<A>Confirmed. Your tickets have been sent to your email address. Enjoy!<U>N/A<A>N/A<U>N/A<A>N/A	[A]N/A	dlg-8aaed37d-ae87-4e33-a77a-2d4fbacc569e
<PR>resolve_movie<PRAN>name.movie<PRAV>Bohemian Rhapsody<C><U>Hi! I'd like to find theater info for some movies in Tampa, Florida. Can you tell me about that biopic about Queen and Freddie Mercury?<PN>resolve_movie<PAN>name.movie<PAV>That biopic about Queen and Freddie Mercury	[A]Happy to help! Let me just confirm that the movie you're talking about is Bohemian Rhapsody. Is that right?	dlg-e96c27d7-0fa6-456a-9397-2e049dd820fa
<U>I am in Creek’s End, Oregon<C><U>I want to go to the movies<A>OK. And where will you be seeing the movie?	[A]Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?	dlg-3604037c-1768-451b-ad62-519ced2cd468
