"<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<C><U>Good morning! I think I would like to see a movie tomorrow.<A>Wonderful! I can certainly help with booking that for you.<U>The problem is I am not sure what I want to see. I am in the mood for either a romantic comedy or horror film.<PN>find_movies<PAN>name.genre<PAV>romantic comedy or horror<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>'Family Jewels'<PRAV>'Shuttered'<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist""<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes score of 69%<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>name.person"	"[A]There are movies showing in both those genres. 'Family Jewels' is a Romantic Comedy with a Rotten Tomatoes score of 69%. Synopsis of this movie is ""a famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist"" It stars Melissa McCarthy and Ryan Reynolds."	dlg-7cf36373-91dd-4782-b548-d20522f007dd
"<PR>book_tickets<PRAN>status<PRAV>success<C><U>I am interested in going out to the movies tonight.<A>OK. And where will you be seeing the movie?<U>i want to near by areas.<A>OK. Can you give me the city and state?<U>I am in Creek's End,Oregon<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>I think a ""James Bond"" movie<A>Ok. I think you are talking about No Time To Die. Does that sound right?<U>""No Time To Die"" is the one i was thinking about.<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I think action movies are always a great choice. In Creek’s End, Oregon, I see that No Time To Die is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>Choose the Second one<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>OK, AMC Mercado 24 it is.<U>what times are available?<A>It looks like tonight’s remaining showtimes for No Time To Die at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?<U>Choose the earliest one<A>OK, so you'd like 5:00pm. And how many tickets?<U>i need tickets for me and my parents.<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mercado 24 tonight at 5:00pm. Is that all correct?<U>Confirm<A>Is it OK to go ahead and purchase these tickets?<U>OK,Sure<PN>book_tickets<PAN>num.tickets<PAV>three<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mercado 24<PAN>date.showing<PAV>tonight<PAN>time.showing<PAV>5:00pm"	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-b3bf0374-a5e8-40a7-b1fe-633ad75cfb75
<U>I need help looking up show times for tomorrow night.	[A]Okay, what film do you want to see?	dlg-d891c07a-592d-482b-b17d-d7ed60cf2581
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<C><U>Hi. I have a date planned for this Saturday and I need to buy some tickets to a movie, but I want to know what movies are airing.<A>Sure. Where do you live?<U>Spring Hills, Kansas<PN>resolve_location<PAN>location<PAV>Spring Hills, Kansas<PR>resolve_location<PRAN>location<PRAV>Spring Hills, Kansas<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<PRAV>Beyond the Storm<PRAV>Backcountry<A>There are five movies playing within your area: Not My Problem, Family Jewels, Shuttered, Beyond the Storm, & Backcountry<U>Oh. Which ones are comedies?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<A>Not My Problem is a comedy rated PG-13. Family Jewels is a romantic comedy rated R.<U>What are they about?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>is about a troubled teen who tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp.Family<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>is about a famous diamond dealer who leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>Not My Problem is about a troubled teen who tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.Family Jewels is about a famous diamond dealer who leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.<U>Okay. Not My Problem sounds good. What's the consensus on both films so far?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>is rated 72% on Rotten Tomatoes<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>is rated 69%<A>Not My Problem is rated 72% on Rotten Tomatoes, while Family Jewels is rated 69%.<U>Oh, so they're pretty much rated the same. All right, I'll go with Not My Problem.<A>How many tickets do you need?<U>I need two.<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Not My Problem	[PN]find_showtimes[PAN]name.movie[PAV]Not My Problem[PAN]name.theater[PAV]AMC Holiday[PAN]date.showing[PAV]Saturday[PAN]time.preference[PAV]any	dlg-f39087d6-f772-4229-9395-946e397c18d9
<U>Hmmmm now that I think of it 8:30pm might be a bit too late. Are there any theaters nearby that have a 7pm showing?<C><U>I want to see Like a Boss, where is the nearest theater?<PN>find_theaters<PAN>name.movie<PAV>Like a Boss<PAN>location<PAV>nearest theater<PR>find_theaters<PRAN>name.theater<PRAV>AMC in El Cajon<PRAV>The Regal<A>The nearest theater is the AMC in El Cajon<U>What are the showtimes for the movie?<PN>find_showtimes<PAN>name.movie<PAV>Like a Boss<PAN>name.theater<PAV>AMC in El Cajon<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>5pm,6pm<PRAV>8:30pm<A>The showtimes are 5pm,6pm and 8:30pm<U>Are these standard showings?<A>Yes they are standard showings<U>How much are tickets for the showing?<A>Tickets are 11 dollars.<U>Can you get 3 tickets for the 8:30pm showing of Like A Boss at the AMC?<A>Yes, I can do that, is there anything else before I make the purchase?	[PN]find_showtimes[PAN]name.movie[PAV]Like a Boss[PAN]date.showing[PAV]today[PAN]type.screening[PAV]standard[PAN]time.preference[PAV]7pm	dlg-f68f0f6b-5cdf-47be-b598-7caa8f757827
<U>I want Cima Ultraplex 20<C><U>Already have a movie in mind<A>Ok, what movie is it?<U>I want Possession<A>What theater do you want?	[A]what movie is wanted?	dlg-e5c2004a-f184-4da6-a2b0-0434cdb0e393
<U>i will do this<C><U>I need to see a movie<A>What movie?<U>Sharks<A>I will check the movie theater for you<U>okay please do that for me<A>okay thank you	[A]okay	dlg-b2b4c980-27c3-4f74-b10e-26b4c89e109c
<U>A standard screen is OK. But I want to change the location.<C><U>I want to go see a movie tonight.<A>What movie do you want to see?<U>1917<A>Which theater did you have in mind?<U>The Cranberry Cinema<A>What time do you want to see the movie?<U>Around 7 tonight.<A>For how many people?<U>Just two of us.<A>Is a standard screen OK, or do you want IMAX?	[A]OK, what is the new location?	dlg-7802078f-9a59-425d-95f7-ef519511166a
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I wanna go to AMC Mountain 16<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>Santa, Barbara Cali<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?<U>AMC Mountain 16 now<A>Sorry for the trouble but I wanted to make sure I have it right.<U>OK.<A>Is there a particular movie you’re looking for?<U>Make this faster<A>OK, so far I understand that you are interested in tickets for tonight at AMC Mountain 16. We just need to decide on a movie, the number of tickets and a showtime.<U>what at amc mountain 16?<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<A>I found two movies at AMC Mountain 16: No Time To Die and Mulan.<U>No Time to Die<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm 9:10 PM<A>Got it. And how many tickets?<U>Kevin me and josh<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?<U>yes<A>Is it OK to go ahead and purchase these tickets?<U>yes<PN>book_tickets<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mountain 16<PAN>time.showing<PAV>4:30pm<PAN>num.tickets<PAV>three<PAN>date.showing<PAV>tonight	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-5c691eee-e451-4803-8633-fc75218a7379
<U>2 tickets<C><U>i want to go or a movie<A>oh which movie<U>sam delight or Far From You<A>ok...which place<U>land's end motana<A>good...which theatre<U>Legacy Monument Family 12<A>how many tickets	[A]when sir	dlg-0320db65-24f9-4335-83cb-0ab386702229
<U>i had a busy day and i need something that will help me forget about it<C><U>i really need to watch movie tonight<A>OK.Do you have anything in mind?	[A]Sure. And what city are you looking in?	dlg-d105c342-abdd-4fc6-9be8-6cdfbf6d94f5
<U>Oh, that's fantastic! What kind of movie is it?<C><U>Hey, what is a good movie that is currently playing?<A>That depends, what kind of movie are looking for?<U>I'd prefer a movie that is not full of mindless humor.<A>Okay, there are several films like that. Other than things that you don't want, is there anything that you do want in the film?<U>I would prefer a movie with a beautifully articulated story that could bring me to tears or one with a more serious tone.<PN>find_movies<PAN>description.other<PAV>movie with a beautifully articulated story that could bring me to tears or one with a more serious tone<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Downton Abbey<A>Downton Abbey would fit that bill, would you like to know more?<U>No, I'm not a follower of the show, so I feel that I'd be lost.<PN>find_movies<PAN>description.other<PAV>I'm not a follower of the show, so I feel that I'd be lost<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Joker<A>Joker also fits the bill, would you like to know more?<U>Yes, what do the critics think of the movie?<PN>get_movie_attribute<PAN>name.movie<PAV>Joker<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>According to Metacritic.com, the critics have given the film a rating of 59/100<A>According to Metacritic.com, the critics have given the film a rating of 59/100.<U>Eww, that's kind of tough. What about the general population - what is the consensus there?<PN>get_movie_attribute<PAN>name.movie<PAV>Joker<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>According to IMDB, a total of 288,616 reviews have an average rating of 8.9/10<A>According to IMDB, a total of 288,616 reviews have an average rating of 8.9/10.	[A]It is a movie with a dark tone that portrays the psychological descent of a man living in the city.	dlg-64b7f6f9-072a-4c06-9d3a-468d7c193e3d
<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<C><U>Hello, I want to purchase movie tickets<A>Great, I can help you with this<U>Ok, let's get started!<A>Great. Where do you live?<U>I am in Spring Hills, Kansas<A>Nice, and when are you planning on going to the movies?<U>I plan on going tonight<A>and how many people are going?<U>three total<A>Do you guys have a movie in mind?<U>Yes, I want to see Beyond the Storm but I would like more information first.<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<A>Ok, here is some info on it:Beyond The Storm - Action - rated PG-13 - Rotten Tomatoes 81% - Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board - directed by James Cameron.<U>Actually, can you give me a suggestion for something with more comedy?<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>description.other<PAV>something with more comedy<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PN>get_movie_attribute<PAN>name.movie<PAV>choice:Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>choice:Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>choice:Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>choice:Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>choice:Not My Problem<PAN>attribute<PAV>name.person	[PN]get_movie_attribute[PAN]name.movie[PAV]choice:Not My Problem[PAN]attribute[PAV]name.person	dlg-301ce886-1320-4b7b-900e-cb1420d03417
<U>Thanks, got any other suggestions?<C><U>Hi, I would like to buy movie tickets.<A>Ok, that sounds good, I can help<U>Great! How do we start?<A>Ill start by asking where you are located.<U>I am in Spring Hills, Kansas<A>Great. When are you going to the movies?<U>I am going tonight if possible<A>And who are you going with?<U>Just my girlfriend<A>Fun! Did you have a movie in mind?<U>I would like to hear more about BackCountry please?<PN>get_movie_attribute<PAN>name.movie<PAV>BackCountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Documentary (outdoor)<PN>get_movie_attribute<PAN>attribute<PAV>rating.movie<PAN>name.movie<PAV>BackCountry<PR>get_movie_attribute<PRAN>rating.movie<PRAV>G<PN>get_movie_attribute<PAN>name.movie<PAV>BackCountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 91%<PN>get_movie_attribute<PAN>name.movie<PAV>BackCountry<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks<A>Sure, here is some information:Backcountry - Documentary (outdoor) - rated G - Rotten Tomatoes 91% - Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks.	[PN]find_movies[PAN]location[PAV]Spring Hills, Kansas	dlg-d8da3191-a17b-49c0-8ec0-321525fafcff
<U>I want to see the new James Bond movie.<C><U>Hey, I want to go see a movie tonight<A>OK. And where will you be seeing the movie?<U>At the closest movie theater to me.<A>OK. Can you give me the city and state?<U>Creek's End, Oregon<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?	[A]Ok. I think you are talking about No Time To Die. Does that sound right?	dlg-3dcdfe15-fee0-4218-8e72-5fb146d8c466
<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<C><U>Hi, I want to go to the movies tonight.<A>Certainly! Where are you located?<U>I'll be in Spring HIlls, Kansas. Are there any theaters there?<PN>find_theaters<PAN>location<PAV>Spring HIlls, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PRAV>Cinemark Downtown<A>Yes, there are two. The AMC Holiday and the Cinemark Downtown.<U>Well, I don't know either of those so I'll just pick one at random. Let's try the Cinemark. What movies are playing there this evening?<PN>find_movies<PAN>location<PAV>Spring HIlls, Kansas<PAN>name.theater<PAV>Cinemark Downtown<PR>find_movies<PRAN>name.movie<PRAV>BEYOND THE STORM<PRAV>BACKCOUNTRY<A>BEYOND THE STORM and BACKCOUNTRY are the two films playing at the Cinemark Downtown tonight.<U>Tell me about both of them, please, I haven't heard of either one.<PN>get_movie_attribute<PAN>name.movie<PAV>BEYOND THE STORM<PAN>attribute<PAV>name.genre	[PN]get_movie_attribute[PAN]name.movie[PAV]BEYOND THE STORM[PAN]attribute[PAV]rating.movie	dlg-26a0a69c-bb08-4375-b9aa-246777d677c3
<U>Are the movies animated or do they have real actors. My children are sort of growing out of the animated stage and like the real actors better.<C><U>I would really like to go to a movie today and I want it to be spooky for Halloween.<A>Do you want it to be spooky for adults or more geared towards a child for Halloween?<U>I prefer it to be for a child Halloween but still spooky and scary but not so much to make the children stay up all night because they got too scared.<PN>find_theaters<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>Regal Cinemas<PN>find_movies<PAN>description.other<PAV>I prefer it to be for a child Halloween but still spooky and scary but not so much to make the children stay up all night because they got too scared<PR>find_movies<PRAN>name.movie<PRAV>The Adams Family<PRAV>Malificent Mistress of Evil<PRAV>Scary Stories to Tell in the Dark<A>There are a couple of movies playing at Regal Cinemas right now that match your description. There is The Adams Family, and Malificent Mistress of Evil, and Scary Stories to Tell in the Dark.<U>Do you happen to know what the ratings are?<PN>get_movie_attribute<PAN>name.movie<PAV>Scary Stories to Tell in the Dark<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>The Adams Family<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG<PN>get_movie_attribute<PAN>name.movie<PAV>Malificent Mistress of Evil<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG<A>Scary Stories is PG-13, Adams Family is PG, and Malificent is also rated PG. How old are the children?<U>Well my children are 11 and 12 so I think all 3 would be okay for them. Which one do you think has the most story line? I would think Scary stories would be a bunch of different stories and I really don't want that.<PN>get_movie_attribute<PAN>name.movie<PAV>Malificent<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action/fantasy<A>The Adams family is based off of the old TV show and would be a comedy/spooky halloween movie for a child. Malificent is an action/fantasy movie the children would probably also enjoy for Halloween.<U>Between the two do you know which movie has the best ratings overall?<PN>get_movie_attribute<PAN>name.movie<PAV>Malificent Mistress of Evil<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>7/10 rating on IMDB<PN>get_movie_attribute<PAN>name.movie<PAV>The Adams Family<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>5.9 out of 10<A>Malificent has a 7/10 rating on IMDB and The Adams Family has 5.9 out of 10.	[A]In that case I think Malificent would be the best movie. It has live actors and a lot of action. Malificent is evil which is great for Halloween and it isn't too scary that the children wouldn't enjoy it. The Adams family is a great movie but it is animated and may be a little childish for children of your age group.	dlg-69e13eec-a605-4a96-9b60-a9026e3aeeb7
<U>Only two tickets.<C><U>Can I get two tickets to see Mulan?<A>Three tickets to Mulan?	[A]Two tickets to Mulan.	dlg-f07ad4cc-96b6-4e71-bd81-b10f53dd6c4e
"<U>Do you see any showings near Davis, CA?<C><U>Hi, I want to get some tickets for a movie in the Davis CA area.<A>No problem. Do you have a movie in mind?<U>I want to see ""No Time To Die""<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Davis, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<A>It looks like the nearest theater playing No Time To Die is at the AMC Mercado 24 in Sacramento, California."	[A]That’s right. No Time To Die is not showing in Davis, California.	dlg-ed6f8b99-6afc-41e0-bb4d-922246420642
<U>sure is and thanks.<C><U>yes,I would like to purchase tickets to a movie tonight. can you help me with that?<A>Sure I can. what movie do you have in mind?<U>well, can you suggest movies in the action or horror genre?<PN>find_movies<PAN>name.genre<PAV>horror<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>shuttered<PN>find_movies<PAN>name.genre<PAV>action<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>beyond the storm<PN>get_movie_attribute<PAN>name.movie<PAV>shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<A>let me see what I have here. well there is a horror movie currently playing called shuttered. Would that be of any interest to you?<U>what is the gist of the movie?<PN>get_movie_attribute<PAN>name.movie<PAV>shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>it's about a woman called sarah who moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>it's about a woman called sarah who moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.<U>I see. is that the movie directed by james cameron?<A>It doesn't give the director's name<U>any good action movies currently playing?<PN>get_movie_attribute<PAN>attribute<PAV>name.person<PAN>name.movie<PAV>beyond the storm<PR>get_movie_attribute<PRAN>name.person<PRAV>james cameron<A>I see that there is one called beyond the storm and this is the one directed by james cameron<U>okay then if james cameron direct this movie it has to be about treacherous fishing in the north sea during bad weather<A>that's correct<U>and where is it currently playing?<PN>find_theaters<PAN>name.movie<PAV>beyond the storm<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>cinemark cinema<A>it's now showing at the cinemark cinemas<U>and do they have a 8:30pm showing?<PN>find_showtimes<PAN>name.movie<PAV>beyond the storm<PAN>name.theater<PAV>cinemark cinemas<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>8:30pm<PR>find_showtimes<PRAN>time.showing<PRAV>8:30pm<A>they do. do you want me to order tickets for you and how many?<U>yes and it will be just 2 of us<A>so I am ordering two tickets for the showing of beyond the storm for the 8:30pm showing tonight at the cinemark cinema. Is that correct?	[PN]book_tickets[PAN]name.movie[PAV]beyond the storm[PAN]name.theater[PAV]cinemark cinemas[PAN]num.tickets[PAV]2[PAN]time.showing[PAV]8:30pm[PAN]date.showing[PAV]tonight[PAN]seating[PAV]any	dlg-194e2de5-bbb8-4379-8001-352b00dd92d4
<U>i actually forgot i'm going to be busy tonight,i'll need to change the date till tomorrow.<C><U>i'll love to see a movie tonight<A>OK. Do you have anything in mind?<U>no<A>Sure. And what city are you looking in?<U>brando,texas is fine<PN>resolve_location<PAN>location<PAV>Brando, Texas<PR>resolve_location<PRAN>location<PRAV>Brando, Texas<A>Brando, Texas. Got it. And is there a particular type of movie you’d like to see?<U>what movies are out?<PN>find_movies<PAN>location<PAV>Brando, Texas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Stella’s House<A>A few titles playing in your area are No Time To Die, Mulan, and Stella’s House.<U>wow! i have heard alot aout stella's house.who is the director?<PN>get_movie_attribute<PAN>attribute<PAV>name.person<PAN>name.movie<PAV>Stella’s House<PR>get_movie_attribute<PRAN>name.person<PRAV>Clyde Stewart<A>The director of Stella’s House is Clyde Stewart.<U>Clyde Stewart?one of my favorite director.what is the showtime and theater for the movie?<PN>find_theaters<PAN>name.movie<PAV>Stella’s House<PAN>location<PAV>Brando, Texas<PR>find_theaters<PRAN>name.theater<PRAV>Milford Theater<A>OK. Hold on a moment while I get showtimes.<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>Milford Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. Stella’s House is playing at the Milford Theater. Showtimes are 4:40pm, 7:10pm, and 9:30pm. Which one would you prefer?	[A]No problem. Let me check the showtimes for tomorrow.[PN]find_showtimes[PAN]name.movie[PAV]Stella’s House[PAN]date.showing[PAV]tomorrow[PAN]name.theater[PAV]Milford Theater	dlg-35ead66f-7228-40d0-a233-002bb038af44
