<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<C><U>hey there, I need some movie tickets.<A>I can help with that, what movie?<U>Whatever is new, something exciting like action or scary, anything like that showing?<A>I can check it out! What is your location?<U>I am in the Spring Hills Kansas area.<PN>find_movies<PAN>description.other<PAV>new, something exciting<PAN>location<PAV>Spring Hills Kansas<PR>find_movies<PRAN>name.movie<PRAV>Shuttered<PRAV>Beyond The Storm<A>Ok, I found Shuttered and Beyond The Storm.<U>ok, can I get some details?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 61%<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.person	[A]Sure, Shuttered - Horror - rated R - Rotten Tomatoes 61% - Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm. An then Beyond The Storm - Action - rated PG-13 - Rotten Tomatoes 81% - Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board - directed by James Cameron.	dlg-dab573e7-61dd-4a5b-ab66-286f1aa14fa3
<U>What's the story about?<C><U>I want to go see a movie tonight<A>Sure. What movie would you like to see?<U>What movies are playing at = Boulevard 14 Cinema in Petaluma, California?<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>Can you describe Mulan for me?<A>Sure. What specifically would you like to know?	[PN]get_movie_attribute[PAN]attribute[PAV]description.plot[PAN]name.movie[PAV]Mulan	dlg-0e39a359-75f3-4f43-8bea-123e2541b772
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I'd like to go to the movies tonight<A>Sure. What movie would you like to see?<U>What's playing at Boulevard 14 Cinema in Petaluma, California<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>Tell me more about Mulan... I don't think I've heard of that one<A>Sure. What specifically would you like to know?<U>What is it about?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>description.plot<PRAV>Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way<A>OK. Here’s the synopsis of Mulan: Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way.<U>Do you know the audience and critic ratings of the movie<PN>get_movie_attribute<PAN>attribute<PAV>review.audience<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.audience<PRAV>92%<PN>get_movie_attribute<PAN>attribute<PAV>review.critic<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.critic<PRAV>87% Rotten Tomatoes<A>Mulan has an 87% Rotten Tomatoes score and a 92% audience rating.<U>Let's go with No Time To Die then...<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>Boulevard 14 Cinema<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>7:30pm<PRAV>10:55pm<A>OK. No Time To Die is playing 4:00pm, 7:30pm, and 10:55pm. Which time would you like?<U>Let's go with the 10:55 showing... it'll be for my friend and I<A>All right. Let me confirm that you’d like two tickets for No Time To Die at Boulevard 14 Cinema tonight at 10:55pm. Is that all correct?<U>Yes<A>Is it OK to go ahead and purchase these tickets?<U>Please do<PN>book_tickets<PAN>num.tickets<PAV>two<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>date.showing<PAV>tonight<PAN>time.showing<PAV>10:55pm	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-622af14a-fa28-413b-aa3c-2548f92d90f1
<U>I have heard so much about Mulan I would love to check it out.<C><U>I want to go a see a movie tonight<A>OK. And where will you be seeing the movie?<U>that would be Creek's End, Oregon.<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?	[PN]find_theaters[PAN]name.movie[PAV]Mulan[PAN]location[PAV]Creek’s End, Oregon	dlg-88e0a7d8-337f-40dd-9cc0-b0b3a0bfcd9b
<U>It's Creek's End, Oregon.<C><U>Hi, can I get some movie tickets please?<A>OK. And where will you be seeing the movie?<U>I want to watch at Cinemax in Poway, please.<A>OK. Can you give me the city and state?	[A]Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?	dlg-1c323a6e-c78b-47ba-8dee-22770756e33f
<U>Okay. What about Backcountry?<C><U>We'd like to get some movie tickets but we're not sure what's playing.<A>Okay. Do you have some theaters in mind?<U>We're in Spring Hills Kansas.<A>Do you have a particular theater you like to go to?<U>We usually go to either AMC Holiday or the Cinemark Downtown.<PN>find_movies<PAN>location<PAV>Spring Hills Kansas<PAN>name.theater<PAV>AMC Holiday<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<PN>find_movies<PAN>location<PAV>Spring Hills Kansas<PAN>name.theater<PAV>Cinemark Downtown<PR>find_movies<PRAN>name.movie<PRAV>Beyond the Storm<PRAV>Backcountry<A>Okay. The movies playing at AMC Holiday are Not My Problem, Family Jewels, and Shuttered. The movies playing at Cinemark Downtown are Beyond the Storm and Backcountry. Do any of those sound like something you'd like to see?<U>I actually haven't heard of any of those. What is Beyond the Storm about?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>It is about a fishing boat in the North Sea and they have to deal with a traitor on board<A>Beyond the Storm is an action movie directed by James Cameron. It is about a fishing boat in the North Sea and they have to deal with a traitor on board.	[PN]get_movie_attribute[PAN]name.movie[PAV]Backcountry[PAN]attribute[PAV]name.genre	dlg-9e6cbef4-37d3-4904-9f51-dca28ba5a3be
<U>Tomorrow<C><U>What times are Sonic the Hedgehog playing in theater?<A>Would you like me to look for theaters?<U>No I want go to AMC theaters<A>Searching for show times, what date are you looking for?	[PN]find_showtimes[PAN]name.movie[PAV]Sonic the Hedgehog[PAN]name.theater[PAV]AMC theaters[PAN]date.showing[PAV]Tomorrow[PAN]time.preference[PAV]any	dlg-3b72d451-7f00-4a53-887e-1b004641ef25
<PR>find_showtimes<PRAN>time.showing<PRAV>empty<C><U>Get movie tickets for jumanji in davie, fl at 4 pm for 4 people<A>Yes. Would you like to see it in imax 3d?<U>Yes<A>Ok one moment please<U>Thank you<PN>find_showtimes<PAN>name.movie<PAV>jumanji<PAN>date.showing<PAV>today<PAN>time.preference<PAV>4 pm<PAN>type.screening<PAV>3d<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>It is not showing in 3d and it is not shoeing at 4pm<U>Can you check it for 3pm<A>One moment please<U>Thanks<PN>find_showtimes<PAN>name.movie<PAV>jumanji<PAN>date.showing<PAV>today<PAN>time.preference<PAV>3pm<PAN>type.screening<PAV>3d	[A]It is not showing until 630pm in davie	dlg-8381327a-6709-46b8-ac54-c1aa575a099c
<PR>resolve_movie<PRAN>name.movie<PRAV>Sonic the Hedgehog<C><U>hi how are you<PN>resolve_movie<PAN>name.movie<PAV>online release<PR>resolve_movie<PRAN>name.movie<PRAV>Bad Boy for Life<A>Happy to help! Let me just confirm that movie you're talking about is Bad Boy for Life. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>Bad Boy for Life<PAN>location<PAV>newyork<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. Bad Boy for Life is playing both AMC Mountain 16 and Cinemark Plaza 24 in newyork.<U>can you remember me the exact title?<A>Let me .<PN>resolve_movie<PAN>name.movie<PAV>online release	[A]I found some titles that might be what you're thinking of. first is Long Way To Darkness. second is Sonic Hedgehog. Are either of those the you want?	dlg-cbb5ec2c-eba7-41bc-a496-f25f0e2ab66c
<U>Yes 9:30 will be fine.<C><U>I would like to book movie tickets for a showing of Star Wars<A>what day would you like to go?<U>today<A>what theater would you like to go to?<U>I would like to go to Tinseltown<A>Alright Star Wars for today at the Tinseltown theater<U>yes<A>What showing would you like to go to<U>I would prefer evening about 9pm<A>How many tickets would you like to book<U>tickets for 2<PN>find_showtimes<PAN>name.movie<PAV>Star Wars<PAN>name.theater<PAV>Tinseltown theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>evening about 9pm<PR>find_showtimes<PRAN>time.showing<PRAV>9 pm<A>Alright 2 tickets for Star Wars tonight at Tinseltown for 9 pm.<U>yes<A>Alright I will get those booked, anything else I can help you with.<U>Wait my plans have changed I need everything the same but I need to change theaters. We want to go to the Rave theater, so we can watch in 3d.<A>Ok I will get that changed<U>thank you<PN>find_showtimes<PAN>name.movie<PAV>Star Wars<PAN>name.theater<PAV>Rave theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>evening about 9pm<PAN>type.screening<PAV>3d<PR>find_showtimes<PRAN>time.showing<PRAV>9:30<A>I will confirm 2 tickets for Star Wars tonight at the Rave theater in 3d. However that theater only has a 9:30 showing is that ok?	[PN]book_tickets[PAN]name.movie[PAV]Star Wars[PAN]name.theater[PAV]Rave theater[PAN]num.tickets[PAV]2[PAN]time.showing[PAV]9:30[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-418c3034-a7b4-4328-b5db-a2a6f0ebeb93
<PR>book_tickets<PRAN>status<PRAV>success<C><U>Hello. I would like to see a movie today please.<A>Sure, is there a specific movie you are wanting to see?<U>Nothing specific, but I love horror films, and I also like funny movies.<A>Where are you located, I'll tell you some stuff playing near you.<U>Spring Hill Kansas.<PN>find_movies<PAN>location<PAV>Spring Hill Kansas<PAN>name.genre<PAV>horror<PAN>description.other<PAV>funny movies<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Shuttered<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>Is there also a horror film playing today? That sounds good, but would like to know about the horror film as well.<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 61%<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>Yes, Shuttered - Horror - rated R - Rotten Tomatoes 61% - Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.<U>Oh wow, that sounds really scary. Lets get tickets to that one. What times is it playing today?<PN>find_theaters<PAN>location<PAV>Spring Hill Kansas<PAN>name.movie<PAV>Shuttered<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>Shuttered<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:45<PRAV>9:00pm<A>Shuttered: AMC Holiday Theater - 3:00pm - 5:45 - 9:00pm<U>Thats the only theater it is playing at?<A>Near Spring Hill Kansas, yes.<U>Okay, I will take the 9:00pm showtime please.<A>Great, how many tickets will you need?<U>I will need two tickets please.<A>Sure, lets just go over the order to make sure it is correct before booking. You will need two tickets to the 9:00pm showing of Shuttered showing at AMC Holiday Theater correct?<U>That sounds right. Lets book them.<PN>book_tickets<PAN>name.movie<PAV>Shuttered<PAN>name.theater<PAV>AMC Holiday Theater<PAN>num.tickets<PAV>two<PAN>time.showing<PAV>9:00pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any	[A]Great, the tickets are booked and a confirmation email is on its way to your email address.	dlg-bd79f277-71c9-4d08-8003-7d07a553fc9f
<U>Santa Barbara<C><U>AMC Mountain 16<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?	[PN]find_theaters[PAN]location[PAV]Santa Barbara, California	dlg-248b159c-8047-414e-b4f5-de963418a3c0
<U>I want IMAX.<C><U>Hello there.<A>Hello, how can I help?<U>I wanna see a movie.<A>And which movie would you like?<U>I want Jumanji tickets.<A>And for which theater would you like?<U>I want it at AMC.<A>And for which time would you like it?<U>I want it at 5:30 PM.<A>And how many in your party?<U>I need three total.<A>And which mode of screening do you prefer?	[A]Searching for tickets now.	dlg-113119df-9eaf-4ca6-a387-7ebae64f4da2
<U>I would say something like Xander.<C><U>Hello!<A>Hello there! Welcome to the Spring Hills Theater!\tHow's your day?<U>Good, good. How was yours?<A>Not bad, for a typical weekday!<U>Alright, Xander cannot swim.<A>Interesting... What would you like to watch from our choices?	[PN]find_movies[PAN]name.theater[PAV]Spring Hills Theater!\tHow's[PAN]location[PAV]nearby[PAN]description.other[PAV]something like Xander	dlg-37970395-5f69-49e6-b35d-b965831eccc9
<U>Doctor Sleep! I remember my friends telling me that that movie was really good! I think I will see that. Is there anything else that is playing that is along that type of movie?<C><U>I want to see a movie, what is good playing?<A>There are a lot of movies out now. What do you enjoy or are in the mood for?<U>I like comedies.<PN>find_movies<PAN>name.genre<PAV>comedies<PR>find_movies<PRAN>name.movie<PRAV>the Addams Family<A>Currently, the Addams Family is playing in the theaters. Would you like to get tickets for a time?<U>No, I am not really into family comedies and I don't like animation.<PN>find_movies<PAN>description.other<PAV>I am not really into family comedies and I don't like animation<PR>find_movies<PRAN>name.movie<PRAV>Zombieland: Double Tap<PN>get_movie_attribute<PAN>name.movie<PAV>Zombieland: Double Tap<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Jesse Eisenberg and Woody Harrelson<A>Zombieland: Double Tap is another comedy that is out. It stars Jesse Eisenberg and Woody Harrelson.<U>Not really in the mood for that, but it is Halloween soon so maybe a horror movie would be good. Is there any movies like that?<PN>find_movies<PAN>description.other<PAV>Not really in the mood for that, but it is Halloween soon so maybe a horror movie would be good<PR>find_movies<PRAN>name.movie<PRAV>Countdown<PN>get_movie_attribute<PAN>name.movie<PAV>Countdown<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>thriller<PN>find_showtimes<PAN>name.movie<PAV>Countdown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:15pm<PN>get_movie_attribute<PAN>name.movie<PAV>Countdown<PAN>attribute<PAV>review.audience<PR>get_movie_attribute<PRAN>review.audience<PRAV>rave reviews<PN>get_movie_attribute<PAN>name.movie<PAV>Countdown<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rave reviews<A>Countdown is a thriller that is playing at 4:15pm and has a lot of rave reviews from critics and fans alike.<U>I've seen that. What about the new Stephen King movie, is that out yet? What is is about?<PN>find_movies<PAN>description.other<PAV>new Stephen King movie<PR>find_movies<PRAN>name.movie<PRAV>Doctor Sleep<PN>find_showtimes<PAN>name.movie<PAV>Doctor Sleep<PAN>time.preference<PAV>any<PAN>date.showing<PAV>today<PR>find_showtimes<PRAN>time.showing<PRAV>1:35pm<PN>get_movie_attribute<PAN>name.movie<PAV>Doctor Sleep<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<A>Doctor Sleep is playing at 1:35pm and is rated R. It is the story continued where The Shining left off.	[A]There doesn't seem to be anymore horror or thriller movies playing in your area. Is Doctor Sleep what you are interested in?	dlg-c6425974-fa62-48c2-8ca0-9e12d55f63a5
<U>Yeah, That's the kid's animation movie right?<C><U>Hey is that animation playing near the mall?<A>Which animation do you speak of? Do you mean onward?	[A]Correct, and it's playing all over the city including the UA theater near the mall.	dlg-8a719031-dade-448e-a6af-8c1a3af75474
<U>Thanks are we all set<C><U>Hello can you please give me the showtimes for star wars this afternoon<A>Sure Which theater would you like to go to<U>Amc<PN>find_showtimes<PAN>name.movie<PAV>star wars<PAN>name.theater<PAV>Amc<PAN>date.showing<PAV>today<PAN>time.preference<PAV>this afternoon<PR>find_showtimes<PRAN>time.showing<PRAV>3:30<PRAV>4:30<PRAV>5:25<PRAV>6:50<PRAV>8:50<PRAV>10:00<A>Ok looks like the show times for this afternoon are 3:30, 4:30, 5:25, 6:50 8:50 and 10:00 what time would you like attend<U>3:30 please<A>Ok do you want to see this on an imax screen<U>Yes please<PN>check_tickets<PAN>name.movie<PAV>star wars<PAN>name.theater<PAV>Amc<PAN>num.tickets<PAV>two<PAN>time.showing<PAV>3:30<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>available<A>Ok there are two tickets available at amc at 3:30 on an imax screen should I book the tickets<U>Oh shit I just remember that I have to go home after work first before I go to the movies so I can’t make the 3:30 is there an imax screening at 4:30 available<A>Yes there is do you want me to order 2 tickets<U>Yes please<A>Ok I will order tickets to the 4:30 showing for 2 on an imax screen at amc theater should I bill your card on ending in 1234<U>Yes please<PN>book_tickets<PAN>name.movie<PAV>star wars<PAN>name.theater<PAV>Amc<PAN>num.tickets<PAV>2<PAN>time.showing<PAV>4:30<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>book_tickets<PRAN>status<PRAV>success<A>Ok I have just booked to tickets for the 4:30 showing of star wars at amc on an imax screen and billed the card on file ending in 1234 should I text u the receipt<U>No email it to me<A>Ok which email address<U>Bigdonky@google.com<A>Ok i will email the receipt to that email address anything else I can help u with<U>Actually can you please set a reminder in my phone about the movie so I don’t forget<A>Sure thing	[A]Yes everything has been booked you should have a receipt in your email and your reminder has been set	dlg-092ef11d-ab94-4f50-ae67-34668c86132c
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<C><U>could you help me for finding such a movie name that the one who heals instantly?<PN>resolve_movie<PAN>name.movie<PAV>the one who heals instantly<PR>resolve_movie<PRAN>name.movie<PRAV>Blood shot<A>Happy to help! Let me just confirm that the movie you're talking about is Blood shot. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>Blood shot<PAN>location<PAV>Florida<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. Blood shot is playing at both AMC Mountain 16 and Cinemark Plaza 24 in Florida.<U>could you again help me to find such a movie name that fantasie turns into nightmares?<A>Let me .<PN>resolve_movie<PAN>name.movie<PAV>fantasy turns into nightmares<PR>resolve_movie<PRAN>name.movie<PRAV>Fantasy Island<A>I found some titles that might be what you're thinking of. The first is Long Way To Darkness. The second is Fantasy Island. Are either of those the one you want?<U>yeah i got it the movie name is Fantasy island.<A>Great let me theaters.<U>OK.<PN>find_theaters<PAN>name.movie<PAV>Fantasy Island<PAN>location<PAV>Florida	[A]I looks like Fantasy Island is only playing at AMC Mountain 16.	dlg-9fce4078-27b7-4533-965d-c650a1c8aec4
<U>No, I'd like to change the theater.<C><U>Could you get me some movie tickets?<A>What movie do you want to see?<U>1917<A>Where do you want to watch the movie?<U>Century Boulder in Boulder, Colorado.<A>What time would you like to watch the movie?	[A]Okay. What theater would you like instead?	dlg-03cadcb4-0973-464a-8aa3-d0f00d4b1511
<U>Hello, I'm looking to purchase some tickets tonight. Hopefully for AMC Mountain 16.	[A]No problem. Is there a particular type of movie you’re looking for?	dlg-ee66c61c-3281-4761-a8d1-9f742955671d
