<U>Purchase two tickets for Mulan for 4pm today.	[A]Do you want to purchase two tickets for Mulan at 6:10pm today?	dlg-f15a36b2-3c86-4397-9b71-76b70908dc8e
<U>I'd prefer 03:15PM.<C><U>hello assistant<A>hi there, how are you today?<U>I'm doing great. yourself?<A>I'm perfectly well thank you. Do you need my assistant with anything today?<U>Yes please.<A>how can i be of help?<U>I wish to see a very interesting movie with my family.<A>OK, that would be great, would you like a recommendation from me?<U>yes, that'd be great. I'd personally love something adventurous for the family.<PN>find_movies<PAN>name.genre<PAV>adventurous<PAN>description.other<PAV>something adventurous for the family<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Jumanji: The Next Level<PRAV>Star Wars: The Rise of Skywalker<A>OK, how would you love to see Jumanji: The Next Level or Star Wars: The Rise of Skywalker?<U>Star Wars: The Rise of Skywalker sounds great I've been longing to see that one. I guess it's a great family movie.<A>Yes it is. you'll definitely love it.<U>Thank you. I'd love you to make a booking for three.<A>OK, I'll do that straight away. What theater do you wish?<U>Cinemark Western Hills 14<A>OK, that is close by and would be a lovely choice. What time would you prefer?	[A]OK. let me do that straight away.	dlg-9082b221-d15c-4a69-92ed-6e3796b94957
<U>Yes, just 2.<C><U>I'd like to go see a movie today<A>Great! In what city?<U>In Land’s End, Montana<A>What movies would you like to watch?<U>Sam's Delight<A>There are several theaters in Land's End, Montana playing that movie. Which theater would you like to go to?<U>I'd like to go to Legacy Monument Family 12<A>Which movie would you like to watch?<U>What movies are playing?<PN>find_movies<PAN>location<PAV>Land’s End, Montana<PAN>name.theater<PAV>Legacy Monument Family 12<PR>find_movies<PRAN>name.movie<PRAV>Sam's Delight<PRAV>Far From You<A>The following movies are playing in Legacy Monument Family 12 theaters.Sam's DelightFar From You<U>What are the showtimes for each movie?<PN>find_showtimes<PAN>name.movie<PAV>Sam's Delight<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>6:10pm<PRAV>8:30pm<PRAV>10:40pm<PN>find_showtimes<PAN>name.movie<PAV>Far From You<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>8:40pm<PRAV>10:40pm<A>The showtimes for Sam’s Delight is 4:00pm, 6:10pm, 8:30pm, and 10:40pm.The showtimes for Far From You are 8:40pm and 10:40pm.<U>I think I'll watch the 8:30 show for Sam's Delight.<A>Great. How many people will be going?<U>Just my wife and I<A>So, just to confirm, you want 2 tickets for the 8:30 show for Sam's Delight?	[PN]book_tickets[PAN]name.movie[PAV]Sam's Delight[PAN]name.theater[PAV]Legacy Monument Family 12[PAN]num.tickets[PAV]2[PAN]time.showing[PAV]8:30pm[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-a9f465b8-e3c1-4734-ac11-7c0219a7719b
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<C><U>Can you get us movie tickets?<A>Yes, that is something I can help you with<U>We like comedies<A>Looks like there are two options based on your interests of comedies<U>Great<PN>find_movies<PAN>name.genre<PAV>comedies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<A>Not My Problem and Family Jewels<U>What are they about?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>about a troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<A>Not My Problem is about a troubled teen tries to convince his depressed elderly neighbor that things are not what they seem.<U>The other?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>about a famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist<A>Family Jewels is about a famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist<U>What has a higher rating online?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>69%<A>The highest rating is of Family Jewels at 69%<U>Ok, then that one<PN>find_theaters<PAN>name.movie<PAV>Family Jewels<PAN>location<PAV>nearby	[PN]find_showtimes[PAN]name.movie[PAV]Family Jewels[PAN]name.theater[PAV]AMC Holiday Theater[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-c2a6e311-1365-4330-9274-af16947d72f4
"<U>Yes please.<C><U>I'd like to see a movie tomorrow night.<A>Great, would you like to hear a list of movies that are ""now showing?""<U>No thank you, I want to see something at the Nickelodeon Theater.<A>Oh ok, shall I tell you what's playing?<U>Yes please.<PN>find_movies<PAN>name.theater<PAV>Nickelodeon<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Little Women<PRAV>Uncut Gems<A>Currently the Nickelodeon theater is playing Little Women and Uncut Gems.<U>That's what I thought, I'd like to reserve seats for tomorrow night's showing of Uncut Gems.<PN>check_tickets<PAN>name.movie<PAV>Uncut Gems<PAN>name.theater<PAV>Nickelodeon<PAN>num.tickets<PAV>one<PAN>date.showing<PAV>tomorrow<PAN>time.preference<PAV>night<PR>check_tickets<PRAN>status<PRAV>unavailable<A>I'm sorry there is no showing of Uncut Gems tomorrow night at the Nickelodeon Theater.<U>You just said...what are the play dates for Uncut Gems?<A>At the Nickelodeon theater, the movie Uncut Gems last showings are today, January 9th.<U>Oh ok, then please reserve two seats to Little Women.<A>I'll reserve two tickets to Little Women at the Nickelodeon Theater for tonight's showing, what time would you like to go?<U>No, no, I still want to go to a movie tomorrow. Please reserve two tickets for Little Women tomorrow night<A>Oh ok, I'll reserve two tickets to Little Women at the Nickelodeon Theater for tomorrow's showing, would you like to hear show times?"	[PN]find_showtimes[PAN]name.movie[PAV]Little Women[PAN]name.theater[PAV]Nickelodeon[PAN]date.showing[PAV]tomorrow[PAN]time.preference[PAV]any	dlg-052fc5b7-60cb-4b9d-866c-950b37f68a19
"<U>Which movie theater closest to me is playing the ""Harley Quinn: Birds of Prey"" movie tonight?"	[PN]find_theaters[PAN]location[PAV]closest to me	dlg-845c3db0-393b-4b1d-968d-5bf31d609f18
<U>Hello?	[A]Hello there!	dlg-13bcb8af-9d8c-4d83-970b-0eb057bdadc8
<PR>book_tickets<PRAN>status<PRAV>success<C><U>i'll love to see a movie tonight<A>Sure. What movie would you like to see?<U>i havn't decided yet.can you help with any?<A>No problem. Can you tell me what city you’re in?<U>in currently in oak valley,arkansas.<PN>find_movies<PAN>location<PAV>Oak Valley, Arkansas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Emma<A>Ok. There are a couple of popular films out in your area: No Time To Die and Emma. Do either of those sound interesting?<U>i'm quite familiar with no time to die but tell me more about emma.<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Emma<PR>get_movie_attribute<PRAN>description.plot<PRAV>In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her<A>OK. Here’s the description of Emma: In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her.<U>hum i love that description,i'll love to book two tickets to emma<PN>find_theaters<PAN>location<PAV>Oak Valley, Arkansas<PAN>name.movie<PAV>Emma<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<PN>find_showtimes<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>Emma<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>OK. Emma is playing at AMC Mercado 24 today at 5:00pm, 7:10pm, and 9:45pm. Which time would you like?<U>7:10pm is fine<A>All right. Let me confirm that you’d like two tickets for Emma at AMC Mercado 24 tonight at 7:10pm. Is that all correct?<U>correct<A>Is it OK to go ahead and purchase these tickets?<U>yes<PN>book_tickets<PAN>num.tickets<PAV>two<PAN>name.movie<PAV>Emma<PAN>name.theater<PAV>AMC Mercado 24<PAN>date.showing<PAV>tonight<PAN>time.showing<PAV>7:10pm	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-32b67f97-6fcb-4135-b0bc-ac6aa248b889
"<U>Sure.<C><U>I’d like movie tickets for movie_1_alt_1.<PN>resolve_movie<PAN>name.movie<PAV>{}<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>That’s right.<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>""SB"" for the location<PN>resolve_location<PAN>location<PAV>SB<PR>resolve_location<PRAN>location<PRAV>Santa Barbara, California<A>OK. Santa Barbara, California. One moment."	[PN]find_theaters[PAN]location[PAV]Santa Barbara, California[PAN]name.movie[PAV]No Time To Die	dlg-984f1762-7bd6-484c-b7c8-58ca1c857dab
<U>No thanks.<C><U>I would like to purchase movie tickets for this evening to AMC Mountain 16 theater.<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>Yes. In Santa Barbara, CA please.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?<U>To AMC Mountain 16 theater , please!<A>Sorry for the trouble but I wanted to make sure I have it right.<U>OK.<A>Is there a particular movie you’re looking for?<U>I am in a rush so can you please hurry?!<A>OK, so far I understand that you are interested in tickets for tonight at AMC Mountain 16. We just need to decide on a movie, the number of tickets and a showtime.<U>Can you tell me what is showing at the AMC Mountain 16?<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<A>I found two movies at AMC Mountain 16: No Time To Die and Mulan.<U>No Time To Die, would be perfect!<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm How about the one playing at 9:10pm?<A>Got it. And how many tickets?<U>I need one for me, my husband and our daughter.<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?<U>Yes, that is correct.<A>Is it OK to go ahead and purchase these tickets?<U>Yes, please.<PN>book_tickets<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mountain 16<PAN>time.showing<PAV>4:30pm<PAN>num.tickets<PAV>three<PAN>date.showing<PAV>tonight<PR>book_tickets<PRAN>status<PRAV>success<A>OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	[A]OK. Enjoy your movie!	dlg-6f2dab88-bf54-4003-a162-6e704203f425
"<U>Are there tickets available?<C><U>Is the hedgehog movie playing tonight at eight in L.A., at the Regal?<A>Do you mean is the movie ""Sonic the Hedgehog"" playing at 8:00 PM tonight at the Regal LA Live & 4DX theater on Olympic Boulevard?<U>Yeah.<A>""Sonic the Hedgehog"" is playing at 8:10 PM tonight at the Regal LA."	[A]How many did you need?	dlg-a433a6b9-d716-4e54-abff-14e238f90dff
<U>Ok, that theater works better for me. Can you book the 10:25 PM showing?<C><U>Would you mind reserving some movie tickets for tonight?<A>Not at all, where should I begin looking?<U>Look around Cedar Creek, North Carolina.<A>Do you want a specific theater?<U>No, that's ok.<A>Ok, and what movie would you like to watch?<U>I want to see Possession.<PN>find_theaters<PAN>location<PAV>Cedar Creek, North Carolina<PAN>name.movie<PAV>Possession<PR>find_theaters<PRAN>name.theater<PRAV>Cima Ultraplex 20<PN>find_showtimes<PAN>date.showing<PAV>tonight<PAN>location<PAV>Cedar Creek, North Carolina<PAN>name.movie<PAV>Possession<PAN>name.theater<PAV>Cima Ultraplex 20<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>6:10pm<PRAV>8:30pm<A>Ok, I found Possession playing at Cima Ultraplex 20 at 4:00pm 6:10pm and 8:30pm.<U>Is it playing anywhere else?<PN>find_theaters<PAN>location<PAV>Cedar Creek, North Carolina<PAN>name.movie<PAV>Possession<PR>find_theaters<PRAN>name.theater<PRAV>Northgate Cinemas 12<PN>find_showtimes<PAN>date.showing<PAV>tonight<PAN>location<PAV>Cedar Creek, North Carolina<PAN>name.movie<PAV>Possession<PAN>name.theater<PAV>Northgate Cinemas 12<PR>find_showtimes<PRAN>time.showing<PRAV>6:00pm<PRAV>8:10pm<PRAV>10:25pm<A>Possession is also playing at Northgate Cinemas 12 at 6:00pm 8:10pm and 10:25pm.	[A]Sure, how many tickets will you need?	dlg-a2fd4cf0-d624-4433-9bc5-e83203abd09f
<U>You did. Thank you.<C><U>I am going on a date tonight and I am not sure what movie would be good. Could you help me?<A>I can try to assist you! Did you have a particular type of movie that you were looking to see?<U>I am looking for a good comedy.<PN>find_movies<PAN>name.genre<PAV>comedy<PAN>location<PAV>nearby<PAN>description.other<PAV>good<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<A>Well, there are currently two comedy films out right now. Not My Problem and Family Jewels.<U>What are the movies rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<A>Not My Problem is rated PG-13. Family Jewels is rated R.<U>Do you know who stars is in Not My Problem?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Yes. Matt Damon and Noah Schnapp both star in the movie.<U>Who is in Family Jewels?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>Melissa McCarthy and Ryan Reynolds star in Family Jewels.<U>I think I have read a little about that movie. I am not a huge fan of Ryan Reynolds, but I like Melissa McCarthy.<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>The critics seem to think it is a decent film. It has a 69% on Rotten Tomatoes<A>The critics seem to think it is a decent film. It has a 69% on Rotten Tomatoes.<U>What did Not My Problem get on Rotten Tomatoes?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>72% rating on Rotten Tomatoes<A>It currently has a 72% rating on Rotten Tomatoes.<U>I think I am going to see Not My Problem. It may be a bit more lighthearted than Family Jewels since it is PG-13. I want to get two tickets for a showing tonight.<PN>find_theaters<PAN>name.movie<PAV>Not My Problem<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<PRAV>3:55PM<PRAV>7:00PM<PRAV>10:05PM<A>Today, Not My Problem is playing at the AMC Holiday Theater at 1:00PM, 3:55PM, 7:00PM, and 10:05PM. Which time would you like to get tickets for?<U>I think the 7:00PM showtime works for me.<A>To confirm, you wish to purchase two tickets for tonight's 7:00PM showing of Not My Problem. The movie will be playing at the AMC Holiday Theater. Did I get everything correct?	[PN]book_tickets[PAN]name.movie[PAV]Not My Problem[PAN]name.theater[PAV]AMC Holiday Theater[PAN]num.tickets[PAV]two[PAN]time.showing[PAV]7:00PM[PAN]date.showing[PAV]tonight[PAN]seating[PAV]any	dlg-3084d29f-ce5a-4611-b6da-3e53a1b5414b
<U>Thats perfect.<C><U>Hi, can you book some movie tickets for me?<A>Absolutely, where should I limit the search to?<U>Look in Spring Hills, Kansas.<A>Ok, and what movie did you want to see.<U>What got better reviews, Family Jewels or Shuttered?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>higher rating amount critics<A>Between those two films, Family Jewels received a higher rating amount critics.<U>Alright, can I book tickets for that movie then.<A>Sure, did you have a specific theater in mind?<U>I usually go to AMC Holiday Theater.<A>Ok, and what time frame were you looking at?<U>Around 8 to 9PM is good with me.<A>How many tickets will you be reserving?<U>I just need 2 tickets.<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>Around 8 to 9PM<PR>find_showtimes<PRAN>time.showing<PRAV>8:10PM<A>Ok, I found an 8:10PM showing for Family Jewels at AMC Holiday Theater for tonight, will that work for you?	[A]Would you like me to book these tickets?	dlg-6db59549-7391-4a6f-a790-1cf08d6e48c7
<U>That movie does look cute, but how about something more adult<C><U>what comedy do you think is best in theatres right now?<PN>find_movies<PAN>name.genre<PAV>comedy<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>playing with fire<A>I really think playing with fire seems very cute and funny<U>I was thinking that that movie would be good to take the kids to.<A>yes it looks very family friendly.<U>Oh and John Cena is a plus since hes gorgeous.<A>Yes I agree with you<U>what other movies look good?<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>abominable<A>My son really wants to see abominable.	[PN]find_movies[PAN]description.other[PAV]That movie does look cute, but how about something more adult[PAN]location[PAV]nearby	dlg-61bc8a0c-dcd5-4979-8795-95ea75133474
<U>I will need three tickets please.<C><U>Hey, I would really like tickets to a movie tonight please.<A>Sure, do you have a movie in mind?<U>Not yet, can you tell me what comedy and action movies are playing?<A>Where are you located?<U>Spring Hill Kansas.<PN>find_movies<PAN>location<PAV>Spring Hill Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Beyond The Storm<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>Great, sounds good. Can you tell me the action movie that is playing please.<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<A>Beyond The Storm - Action - rated PG-13 - Rotten Tomatoes 81% - Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board - directed by James Cameron.<U>That sounds good as well. I think I will see that today.<A>How many tickets will you need?	[A]What time would you like to see the movie?	dlg-350ab32a-b014-4187-84b0-8332605cd8d5
<U>well?<C><U>oh my what a view. that hike was worth it<A>beautiful indeed<U>let me take a photo<A>snap snap snap snap<U>upload all of the photos to my social mdia account<A>uploads processing<U>let me check my text. the famly wants to see a movie.what movie are out right now?<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>sonic<PRAV>call of the wind<PRAV>bird of prey<PRAV>1917<A>sonic<U>no too kiddie<A>call of the wind<U>no what is that<A>bird of prey<U>no<A>1917<U>oh yes book 7 tickets at the 86th st amc at 8 pm<PN>book_tickets<PAN>name.movie<PAV>1917<PAN>name.theater<PAV>86th st amc<PAN>num.tickets<PAV>7<PAN>time.showing<PAV>8 pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>book_tickets<PRAN>status<PRAV>success<A>Your tickets are confirmed and they’ve been sent to your email address.<U>wait i just got a texy saying my in-laws will not make it can you change it to 5 tickets<A>yes	[PN]book_tickets[PAN]name.movie[PAV]1917[PAN]name.theater[PAV]86th st amc[PAN]num.tickets[PAV]5[PAN]time.showing[PAV]8 pm[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-c7f0c84f-914d-432e-a5e2-f6a230f84af0
<U>yeah Creek's End, Oregon.<C><U>hello, i have a plan for a movie tonight.<A>OK. And in what city?	[A]Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?	dlg-7819f2f8-bc34-4bf8-80fe-9d446a7759d4
<PR>find_showtimes<PRAN>time.showing<PRAV>6:00pm<PRAV>8:10pm<PRAV>10:25pm<C><U>We want to see Possession tonight. We are here i Cedar Creek, North Carolina.<A>How many people?<U>Two people.<A>And where would like to see Possession?<U>Either the Northgate Cinema Twelve or the Cinemas Ultraplex 20. Depends on the times.<PN>find_showtimes<PAN>name.movie<PAV>Possession<PAN>location<PAV>Cedar Creek, North Carolina<PAN>name.theater<PAV>Northgate	[A]Showtimes for Possession at the Northgate are 6:00pm 8:10pm and 10:25pm	dlg-15a587b2-8da7-4848-b180-8c6564e10910
<U>That sounds wonderful. That is all I needed.<C><U>Can you order me some movie tickets?<A>Sure. What movie do you want to watch?<U>The call of the wild.<A>What theater would you like to go to?<U>I would like to go to Showcase Cinema in Cascade, Michigan.<A>What day do you want to see the movie?<U>I want to see it this Saturday.<A>Is there a particular time you wanted?<U>The last showing of the evening.<PN>find_showtimes<PAN>name.movie<PAV>The call of the wild<PAN>name.theater<PAV>Showcase Cinema<PAN>date.showing<PAV>this Saturday<PAN>time.preference<PAV>last showing of the evening<PR>find_showtimes<PRAN>time.showing<PRAV>10:20 pm<A>That time will be 10:20 pm. Is that ok?<U>Yes that will be great.<A>What screen format do you want to watch it on?<U>Do they have it showing on 3D?<A>Yes they do. How many tickets do you need?<U>I need two tickets.<A>Where do you want to sit?<U>Anywhere in the middle will be fine. Wait a minute. Do they have the movie showing on Imax?<A>Yes they do and it is also at the same time as the 3D format.	[PN]book_tickets[PAN]name.movie[PAV]The call of the wild[PAN]name.theater[PAV]Showcase Cinema[PAN]num.tickets[PAV]two[PAN]time.showing[PAV]10:25 pm[PAN]date.showing[PAV]this Saturday[PAN]seating[PAV]section G seats 122 and 123	dlg-a3ab8a30-016e-4bd4-9c96-bd964a890b8a
<U>5 tickets<C><U>Hii<A>Hii sir. how can I help you?<U>I want to booking tickets.<A>Sure sir.<U>I need a ticket for jumanji movie<A>Ok. How many tickets for booking sir	[A]Which theater would you prefer to your nearest location sir	dlg-2d52e7f2-5f58-4ba2-bf9d-d5d8afdfd92c
<U>Yes, please do.<C><U>I want to go see a movie this evening.<A>Sure. What movie would you like to see?<U>I'm not sure, do you have any suggestions?<A>No problem. I can give you the names of a couple of movies playing in your area. What city are you going to see the movie in?<U>I'm in Oak Valley, Arkansas.<PN>find_movies<PAN>location<PAV>Oak Valley, Arkansas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Emma<A>Ok. There are a couple of popular films out in your area: No Time To Die and Emma. Do either of those sound interesting?<U>I already know about No Time To Die, but can you tell me more about Emma?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Emma<PR>get_movie_attribute<PRAN>description.plot<PRAV>In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her<A>OK. Here’s the description of Emma: In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her.<U>That sounds pretty good, could you get me two tickets for Emma?<PN>find_theaters<PAN>location<PAV>Oak Valley, Arkansas<PAN>name.movie<PAV>Emma<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<PN>find_showtimes<PAN>name.movie<PAV>Emma<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>OK. Emma is playing at AMC Mercado 24 today at 5:00pm, 7:10pm, and 9:45pm. Which time would you like?<U>The 7:10pm showing.<A>All right. Let me confirm that you’d like two tickets for Emma at AMC Mercado 24 tonight at 7:10pm. Is that all correct?<U>Yes, correct.<A>Is it OK to go ahead and purchase these tickets?	[PN]book_tickets[PAN]num.tickets[PAV]two[PAN]name.movie[PAV]Emma[PAN]name.theater[PAV]AMC Mercado 24[PAN]date.showing[PAV]tonight[PAN]time.showing[PAV]7:10pm	dlg-cf434399-5eff-4674-a278-23dbe2338caf
